,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.249399,3080797000.0,0.0,0.0,2158837000.0,191163000.0,6512016000.0,3080797000.0,2889634000.0,-13489000.0,13489000.0,2158837000.0,2158837000.0,9786877000.0,366525806.0,366525806.0,5.89,5.89,2158837000.0,2158837000.0,0.0,2158837000.0,2158837000.0,2158837000.0,717308000.0,2876145000.0,1205701000.0,0.0,-13489000.0,13489000.0,1683933000.0,3274861000.0,1459838000.0,191163000.0,191163000.0,4958794000.0,6512016000.0,11470810000.0,11470810000.0,547296315622.4321
2025-06-30,0.0,0.206773,414907000.0,0.0,0.0,183498000.0,176614000.0,592338000.0,414907000.0,238293000.0,-6962000.0,6962000.0,183498000.0,183498000.0,2941257000.0,366996000.0,366996000.0,0.5,0.5,183498000.0,183498000.0,0.0,183498000.0,183498000.0,183498000.0,47833000.0,231331000.0,868624000.0,0.0,-6962000.0,6962000.0,-630331000.0,2348919000.0,1020972000.0,176614000.0,176614000.0,1718588000.0,592338000.0,2310926000.0,2310926000.0,712858728873.0469
2025-03-31,3308627.487539,0.278715,3959640000.0,11871000.0,11871000.0,2727719000.0,196528000.0,10521662000.0,3971511000.0,3774983000.0,2983356000.0,-6767000.0,2719156627.487539,2727719000.0,15203752000.0,,,,,2727719000.0,2727719000.0,0.0,2727719000.0,2727719000.0,2727719000.0,1054031000.0,3781750000.0,-2101737000.0,-155000.0,2983356000.0,-6767000.0,2801705000.0,4682090000.0,1250697000.0,196528000.0,85736000.0,7483795000.0,10521662000.0,18005457000.0,18005457000.0,
2024-12-31,0.0,0.237234,2112943000.0,0.0,0.0,1471254000.0,177008000.0,3697566000.0,2112943000.0,1935935000.0,-7095000.0,7095000.0,1471254000.0,1471254000.0,6901164000.0,366896259.0,366896259.0,4.01,4.01,1471254000.0,1471254000.0,0.0,1471254000.0,1471254000.0,1471254000.0,457586000.0,1928840000.0,844208000.0,0.0,-7095000.0,7095000.0,1091727000.0,3203598000.0,2136046000.0,177008000.0,177008000.0,4295325000.0,3697566000.0,7992891000.0,7992891000.0,410391290973.6145
2024-09-30,0.0,0.263943,1848740000.0,0.0,0.0,1225316000.0,176727000.0,2237214000.0,1848740000.0,1672013000.0,-7311000.0,7311000.0,1225316000.0,1225316000.0,4542918000.0,366861078.0,366861078.0,3.34,3.34,1225316000.0,1225316000.0,0.0,1225316000.0,1225316000.0,1225316000.0,439386000.0,1664702000.0,860323000.0,0.0,-7311000.0,7311000.0,811690000.0,2305704000.0,802848000.0,176727000.0,176727000.0,3117394000.0,2237214000.0,5354608000.0,5354608000.0,423928620521.2068
2024-06-30,,,,,,,,,,,,,,,,360815000.0,360815000.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,573446027895.5078
