,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.257388,5138400000.0,3520800000.0,355400000.0,19613600000.0,5138400000.0,4783000000.0,-41900000.0,41900000.0,3520800000.0,3517400000.0,27659700000.0,211908375.0,211908375.0,16.598683,16.598683,3517400000.0,3517400000.0,0.0,3517400000.0,3517400000.0,-3400000.0,3520800000.0,1220300000.0,4741100000.0,997500000.0,-41900000.0,41900000.0,3785500000.0,8046100000.0,5839900000.0,355400000.0,355400000.0,11831600000.0,19613600000.0,31445200000.0,31445200000.0,1286049371221.8018
2025-03-31,0.0,0.254681,6746000000.0,4741200000.0,337600000.0,18420000000.0,6746000000.0,6408400000.0,-47100000.0,47100000.0,4741200000.0,4746300000.0,25911700000.0,211983028.0,211983028.0,22.39,22.39,4746300000.0,4746300000.0,0.0,4746300000.0,4746300000.0,5100000.0,4741200000.0,1620100000.0,6361300000.0,923300000.0,-47100000.0,47100000.0,5485100000.0,7491700000.0,4901000000.0,337600000.0,337600000.0,12976800000.0,18420000000.0,31396800000.0,31396800000.0,1166348319810.7793
2024-12-31,0.0,0.245657,7429100000.0,5319100000.0,337000000.0,23974800000.0,7429100000.0,7092100000.0,3381600000.0,40800000.0,5319100000.0,5284100000.0,26693200000.0,,,,,5284100000.0,5284100000.0,0.0,5284100000.0,5284100000.0,-35000000.0,5319100000.0,1732200000.0,7051300000.0,-2566700000.0,3381600000.0,40800000.0,6575600000.0,2718400000.0,-1785000000.0,337000000.0,324100000.0,9294000000.0,23974800000.0,33268800000.0,33268800000.0,
2024-09-30,0.0,0.26254,6331100000.0,4404700000.0,328300000.0,16485300000.0,6331100000.0,6002800000.0,-30000000.0,30000000.0,4404700000.0,4404500000.0,23812000000.0,211856662.0,211856662.0,20.79,20.79,4404500000.0,4404500000.0,0.0,4404500000.0,4404500000.0,-200000.0,4404700000.0,1568100000.0,5972800000.0,928900000.0,-30000000.0,30000000.0,5073900000.0,7326700000.0,5203300000.0,328300000.0,328300000.0,12400600000.0,16485300000.0,28885900000.0,28885900000.0,1692916069579.456
2024-06-30,0.0,0.25453,6292400000.0,4426300000.0,309700000.0,16178500000.0,6292400000.0,5982700000.0,-45100000.0,45100000.0,4426300000.0,4434900000.0,22969600000.0,211908375.0,211908375.0,20.928385,20.928385,4434900000.0,4434900000.0,0.0,4434900000.0,4434900000.0,8600000.0,4426300000.0,1511300000.0,5937600000.0,867500000.0,-45100000.0,45100000.0,5115200000.0,6791100000.0,4675100000.0,309700000.0,309700000.0,11906300000.0,16178500000.0,28084800000.0,28084800000.0,1782543450884.7656
