,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Research And Development,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,-26745475.773497,0.224752,9284000000.0,-119000000.0,-119000000.0,845000000.0,4730000000.0,15470000000.0,9165000000.0,4435000000.0,-2722000000.0,2722000000.0,937254524.226503,845000000.0,39001000000.0,1300000000.0,1280303030.0,0.65,0.66,845000000.0,845000000.0,0.0,845000000.0,-483000000.0,1328000000.0,1328000000.0,385000000.0,1713000000.0,930000000.0,-119000000.0,,,-2722000000.0,2722000000.0,3624000000.0,23531000000.0,10386000000.0,4730000000.0,4730000000.0,-132000000.0,27155000000.0,15470000000.0,42625000000.0,42625000000.0,436583333230.0
2025-06-30,0.0,0.079463,8286000000.0,0.0,0.0,314000000.0,4550000000.0,14051000000.0,8286000000.0,3736000000.0,-2767000000.0,2767000000.0,314000000.0,314000000.0,36162000000.0,1207692308.0,1207692308.0,0.26,0.26,314000000.0,314000000.0,0.0,314000000.0,-578000000.0,892000000.0,892000000.0,77000000.0,969000000.0,797000000.0,0.0,,,-2767000000.0,2767000000.0,2939000000.0,22111000000.0,9894000000.0,4550000000.0,4550000000.0,-346000000.0,25050000000.0,14051000000.0,39101000000.0,39101000000.0,429002581192.1576
2025-03-31,577268693.508628,0.056286,1002000000.0,10256000000.0,10256000000.0,3445000000.0,4363000000.0,14734000000.0,11258000000.0,6895000000.0,-1037000000.0,2027000000.0,-6233731306.491372,3445000000.0,35696000000.0,,,,,3445000000.0,3445000000.0,0.0,3445000000.0,-1149000000.0,4594000000.0,4594000000.0,274000000.0,4868000000.0,-11702000000.0,10671000000.0,,,-1037000000.0,2027000000.0,7885000000.0,20962000000.0,-11510000000.0,4363000000.0,-2496000000.0,7447000000.0,28847000000.0,14734000000.0,43581000000.0,43581000000.0,
2024-12-31,54300000.0,0.3,7866000000.0,181000000.0,181000000.0,251000000.0,4254000000.0,13593000000.0,8047000000.0,3793000000.0,-2234000000.0,2234000000.0,124300000.0,251000000.0,34466000000.0,1195238095.0,1195238095.0,0.21,0.21,251000000.0,251000000.0,0.0,251000000.0,-560000000.0,811000000.0,811000000.0,748000000.0,1559000000.0,348000000.0,181000000.0,,,-2234000000.0,2234000000.0,3264000000.0,20873000000.0,9561000000.0,4254000000.0,4254000000.0,-341000000.0,24137000000.0,13593000000.0,37730000000.0,37730000000.0,436097180088.9093
2024-09-30,78000000.0,0.3,7179000000.0,260000000.0,260000000.0,-160000000.0,4199000000.0,11826000000.0,7439000000.0,3240000000.0,-2256000000.0,2256000000.0,-342000000.0,-160000000.0,32795000000.0,1230769231.0,1230769231.0,-0.13,-0.13,-160000000.0,-160000000.0,0.0,-160000000.0,-431000000.0,271000000.0,271000000.0,713000000.0,984000000.0,325000000.0,260000000.0,,,-2256000000.0,2256000000.0,2655000000.0,20969000000.0,9772000000.0,4199000000.0,4199000000.0,-444000000.0,23624000000.0,11826000000.0,35450000000.0,35450000000.0,446295598040.4112
2024-06-30,,,,,,,,,,,,,,,,1197277677.0,1197277677.0,5.51,5.51,,,,,,,,,,,,-320000000.0,-10573000000.0,,,,,,,,,,,,,419221911737.946
