,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.293458,284303000000.0,0.0,0.0,59479000000.0,124651000000.0,145227000000.0,284303000000.0,159652000000.0,-54608000000.0,54608000000.0,59479000000.0,59479000000.0,340890000000.0,6007979798.0,5797173489.0,9.9,10.26,59479000000.0,59479000000.0,0.0,59479000000.0,-14739000000.0,74218000000.0,74218000000.0,30826000000.0,105044000000.0,5088000000.0,0.0,-54608000000.0,54608000000.0,153736000000.0,195663000000.0,23973000000.0,124651000000.0,124651000000.0,29659000000.0,29659000000.0,349399000000.0,145227000000.0,494626000000.0,494626000000.0,11553414347512.85
2025-03-31,-737100000.0,0.3,235181000000.0,-2457000000.0,-2457000000.0,110218000000.0,123260000000.0,165501000000.0,232724000000.0,109464000000.0,-42803000000.0,13625000000.0,111937900000.0,110218000000.0,324457000000.0,,,,,110410000000.0,110218000000.0,0.0,110218000000.0,-14540000000.0,124758000000.0,124758000000.0,-28919000000.0,95839000000.0,-7289000000.0,-4085000000.0,-42803000000.0,13625000000.0,154305000000.0,158956000000.0,-14615000000.0,123260000000.0,19299000000.0,34960000000.0,29359000000.0,313261000000.0,165501000000.0,478762000000.0,478762000000.0,
2024-12-31,3382853841.190156,0.044832,267260000000.0,75456000000.0,75456000000.0,147812000000.0,117042000000.0,141601000000.0,342716000000.0,225674000000.0,-56755000000.0,56755000000.0,75738853841.19016,147812000000.0,322369000000.0,5996430020.0,5787470634.0,24.65,25.54,147812000000.0,147812000000.0,0.0,147812000000.0,-13534000000.0,161346000000.0,161346000000.0,7573000000.0,168919000000.0,4697000000.0,75456000000.0,-56755000000.0,56755000000.0,128924000000.0,180768000000.0,18383000000.0,117042000000.0,117042000000.0,29261000000.0,29261000000.0,309692000000.0,141601000000.0,451293000000.0,451293000000.0,9112874112860.703
2024-09-30,-2524591854.037372,0.295724,231748000000.0,-8537000000.0,-8537000000.0,35932000000.0,110000000000.0,132984000000.0,223211000000.0,113211000000.0,-54237000000.0,54237000000.0,41944408145.96263,35932000000.0,306271000000.0,5988666667.0,5786151369.0,6.0,6.21,35932000000.0,35932000000.0,0.0,35932000000.0,-5602000000.0,41534000000.0,41534000000.0,17440000000.0,58974000000.0,2547000000.0,-8537000000.0,-54237000000.0,54237000000.0,108462000000.0,173287000000.0,19497000000.0,110000000000.0,110000000000.0,28824000000.0,28824000000.0,281749000000.0,132984000000.0,414733000000.0,414733000000.0,9809706971977.96
2024-06-30,1595328033.458915,0.217051,209828000000.0,7350000000.0,7350000000.0,41599000000.0,105401000000.0,128254000000.0,217178000000.0,111777000000.0,-51524000000.0,51524000000.0,35844328033.458916,41599000000.0,293389000000.0,5959742120.0,5769625520.0,6.98,7.21,41599000000.0,41599000000.0,0.0,41599000000.0,-5576000000.0,47175000000.0,47175000000.0,13078000000.0,60253000000.0,3635000000.0,7350000000.0,-51524000000.0,51524000000.0,91675000000.0,165135000000.0,18849000000.0,105401000000.0,105401000000.0,27157000000.0,27157000000.0,256810000000.0,128254000000.0,385064000000.0,385064000000.0,8216763728468.672
