,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.25636,2976260000.0,0.0,0.0,1957470000.0,198940000.0,19898650000.0,2976260000.0,2777320000.0,-145040000.0,145040000.0,1957470000.0,1957470000.0,23521960000.0,95626282.0,95532943.0,20.47,20.49,1957470000.0,1957470000.0,0.0,1957470000.0,0.0,1957470000.0,,1957470000.0,674810000.0,2632280000.0,396110000.0,0.0,-145040000.0,145040000.0,2381200000.0,3623310000.0,2571860000.0,198940000.0,198940000.0,6004510000.0,19898650000.0,25903160000.0,25903160000.0,362318248951.18896
2025-03-31,-5082627.998427,0.257609,3290500000.0,-19730000.0,-19730000.0,2265480000.0,193300000.0,24401920000.0,3270770000.0,3077470000.0,380220000.0,25870000.0,2280127372.001573,2265480000.0,24967010000.0,,,,,2265480000.0,2265480000.0,0.0,2265480000.0,0.0,2265480000.0,0.0,2265480000.0,786120000.0,3051600000.0,-449960000.0,-19730000.0,380220000.0,25870000.0,3039120000.0,565090000.0,-2248720000.0,193300000.0,187710000.0,3604210000.0,24401920000.0,28006130000.0,28006130000.0,
2024-12-31,0.0,0.254933,2544480000.0,0.0,0.0,1648050000.0,189760000.0,19071820000.0,2544480000.0,2354720000.0,-142770000.0,142770000.0,1648050000.0,1648050000.0,22453960000.0,92327731.0,92224398.0,17.85,17.87,1648050000.0,1648050000.0,0.0,1648050000.0,0.0,1648050000.0,0.0,1648050000.0,563900000.0,2211950000.0,136010000.0,0.0,-142770000.0,142770000.0,2218710000.0,3382140000.0,2438050000.0,189760000.0,189760000.0,5600850000.0,19071820000.0,24672670000.0,24672670000.0,408782572688.56055
2024-09-30,0.0,0.255246,2375270000.0,0.0,0.0,1548120000.0,163300000.0,17626970000.0,2375270000.0,2211970000.0,-133270000.0,133270000.0,1548120000.0,1548120000.0,20753760000.0,90374781.0,90216783.0,17.13,17.16,1548120000.0,1548120000.0,0.0,1548120000.0,0.0,1548120000.0,0.0,1548120000.0,530580000.0,2078700000.0,127530000.0,0.0,-133270000.0,133270000.0,2084440000.0,3126790000.0,2222610000.0,163300000.0,163300000.0,5211230000.0,17626970000.0,22838200000.0,22838200000.0,387323996535.69434
2024-06-30,0.0,0.258926,2324080000.0,0.0,0.0,1502490000.0,155040000.0,15580000000.0,2324080000.0,2169040000.0,-141590000.0,141590000.0,1502490000.0,1502490000.0,18614390000.0,90402527.0,90239640.0,16.62,16.65,1502490000.0,1502490000.0,0.0,1502490000.0,0.0,1502490000.0,0.0,1502490000.0,524960000.0,2027450000.0,133250000.0,0.0,-141590000.0,141590000.0,2035790000.0,3034390000.0,2150160000.0,155040000.0,155040000.0,5070180000.0,15580000000.0,20650180000.0,20650180000.0,398475117519.78516
