,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.250872,-3523100000.0,0.0,0.0,-4555000000.0,745200000.0,38865400000.0,-3523100000.0,-4268300000.0,-1812100000.0,1812100000.0,-4555000000.0,-4555000000.0,60985700000.0,3477099237.0,3477099237.0,-1.31,-1.31,-4555000000.0,-4555000000.0,0.0,-4555000000.0,0.0,-4555000000.0,-4555000000.0,-1525400000.0,-6080400000.0,1711600000.0,0.0,-1812100000.0,1812100000.0,-6116600000.0,22120300000.0,6750500000.0,745200000.0,745200000.0,16003700000.0,38865400000.0,54869100000.0,54869100000.0,924009835142.0087
2025-03-31,602022059.282814,0.283879,7787200000.0,2120700000.0,2120700000.0,5044500000.0,850200000.0,59532700000.0,9907900000.0,9057700000.0,434600000.0,2013500000.0,3525822059.282814,5044500000.0,74238900000.0,,,,,5044500000.0,5044500000.0,0.0,5044500000.0,0.0,5044500000.0,5044500000.0,1999700000.0,7044200000.0,-2815700000.0,2063100000.0,434600000.0,2013500000.0,5851700000.0,14706200000.0,429300000.0,850200000.0,641900000.0,20557900000.0,59532700000.0,80090600000.0,80090600000.0,
2024-12-31,0.0,0.246434,4304100000.0,0.0,0.0,1347000000.0,678800000.0,45841800000.0,4304100000.0,3625300000.0,-1837800000.0,1837800000.0,1347000000.0,1347000000.0,70407300000.0,3453846154.0,3453846154.0,0.39,0.39,1347000000.0,1347000000.0,0.0,1347000000.0,0.0,1347000000.0,1347000000.0,440500000.0,1787500000.0,1079100000.0,0.0,-1837800000.0,1837800000.0,2363600000.0,24565500000.0,9066400000.0,678800000.0,678800000.0,26929100000.0,45841800000.0,72770900000.0,72770900000.0,790650871546.8243
2024-09-30,0.0,0.249399,4028900000.0,0.0,0.0,1061500000.0,600900000.0,44301300000.0,4028900000.0,3428000000.0,-2013800000.0,2013800000.0,1061500000.0,1061500000.0,63691900000.0,3538333333.0,3538333333.0,0.3,0.3,1061500000.0,1061500000.0,0.0,1061500000.0,0.0,1061500000.0,1061500000.0,352700000.0,1414200000.0,1112700000.0,0.0,-2013800000.0,2013800000.0,2149100000.0,19390600000.0,4118000000.0,600900000.0,600900000.0,21539700000.0,44301300000.0,65841000000.0,65841000000.0,987596690580.7903
2024-06-30,0.0,0.242267,-582800000.0,0.0,0.0,-2114000000.0,589700000.0,38775700000.0,-582800000.0,-1172500000.0,-1617400000.0,1617400000.0,-2114000000.0,-2114000000.0,57132400000.0,3465573770.0,3465573770.0,-0.61,-0.61,-2114000000.0,-2114000000.0,0.0,-2114000000.0,0.0,-2114000000.0,-2114000000.0,-675900000.0,-2789900000.0,968600000.0,0.0,-1617400000.0,1617400000.0,-2283200000.0,18356700000.0,3418400000.0,589700000.0,589700000.0,16073500000.0,38775700000.0,54849200000.0,54849200000.0,1039558332251.9373
