,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Insurance And Claims,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.268324,0.0,0.0,44721800000.0,97189800000.0,75293300000.0,172483100000.0,44721800000.0,44721800000.0,1988519342.0,1988519342.0,22.49,22.49,44721800000.0,44721800000.0,44721800000.0,0.0,44721800000.0,0.0,44721800000.0,16242700000.0,60534000000.0,0.0,23842800000.0,118000200000.0,35298800000.0,51599400000.0,191661800000.0,191661800000.0,4297207289804.4243
2025-03-31,-8532471750.75907,0.227073,-37575954000.0,-37575954000.0,49327590000.0,96123443000.0,71595809000.0,167719252000.0,78371072249.24094,49327590000.0,,,,,49327600000.0,49327600000.0,49327590000.0,0.0,49327563000.0,0.0,49327563000.0,14421600000.0,63510949000.0,-37575954000.0,48155757000.0,107945710000.0,81174518000.0,-54894238000.0,214985999000.0,214985999000.0,
2024-12-31,0.0,0.249261,0.0,0.0,47010200000.0,94624000000.0,71707400000.0,166331400000.0,47010200000.0,47010200000.0,1988587140.0,1988587140.0,23.64,23.64,47010200000.0,47010200000.0,47010200000.0,0.0,47010200000.0,0.0,47010200000.0,15404500000.0,61800800000.0,0.0,-10789300000.0,95408000000.0,34722400000.0,31097600000.0,167750500000.0,167750500000.0,3547625863902.5977
2024-09-30,0.0,0.248099,,,50440500000.0,92879900000.0,71389800000.0,164269700000.0,50440500000.0,50440500000.0,1988194718.0,1988194718.0,25.37,25.37,50440500000.0,50440500000.0,50440500000.0,0.0,50440500000.0,0.0,50440500000.0,16490800000.0,66468600000.0,,22441700000.0,122038200000.0,33026800000.0,59419600000.0,197503700000.0,197503700000.0,3681768685217.3857
2024-06-30,9348984597.884617,0.245806,38034000000.0,38034000000.0,74481600000.0,90315400000.0,68052500000.0,158367900000.0,45796584597.88462,74481600000.0,1987766213.0,1987766213.0,37.47,37.47,74481600000.0,74481600000.0,74481600000.0,0.0,74481600000.0,0.0,74481600000.0,24116000000.0,98109900000.0,38034000000.0,23828000000.0,114885900000.0,32202200000.0,54591200000.0,182706200000.0,182706200000.0,3574904357539.2656
