,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,-100408398.829709,0.261616,45862600000.0,-383800000.0,-383800000.0,22259000000.0,11067800000.0,38190400000.0,45478800000.0,34411000000.0,-4333000000.0,4333000000.0,22542391601.17029,22259000000.0,179718900000.0,294392276.0,294158848.0,75.61,75.67,22259000000.0,22259000000.0,0.0,22259000000.0,49900000.0,22209100000.0,,22209100000.0,7868900000.0,30078000000.0,1802300000.0,-383800000.0,383800000.0,0.0,-4333000000.0,4333000000.0,33035600000.0,141528500000.0,74248600000.0,11067800000.0,11067800000.0,46489700000.0,46489700000.0,174564100000.0,38190400000.0,212754500000.0,212754500000.0,3534856605128.5
2025-03-31,605402970.788624,0.193872,42486600000.0,3122700000.0,3122700000.0,20529600000.0,13518300000.0,80641400000.0,45609300000.0,32091000000.0,-3918700000.0,6713900000.0,18012302970.788624,20529700000.0,208968400000.0,,,,,20529700000.0,20529700000.0,0.0,20529700000.0,72500000.0,20457400000.0,,20457300000.0,4919900000.0,25377100000.0,-5414100000.0,-336200000.0,,1205800000.0,-3918700000.0,6713900000.0,31419900000.0,128327000000.0,36423100000.0,13518300000.0,10559100000.0,75374800000.0,73996200000.0,159746900000.0,80641400000.0,240388300000.0,240388300000.0,
2024-12-31,0.0,0.195466,31301300000.0,0.0,0.0,14695200000.0,9167300000.0,32962000000.0,31301300000.0,22134000000.0,-3818800000.0,3818800000.0,14695200000.0,14695100000.0,152229700000.0,288478602.0,288195725.0,50.94,50.99,14695100000.0,14695100000.0,0.0,14695100000.0,-40100000.0,14735000000.0,-100000.0,14735100000.0,3580000000.0,18315200000.0,2442900000.0,0.0,,0.0,-3818800000.0,3818800000.0,19703600000.0,119267700000.0,63488400000.0,9167300000.0,9167300000.0,38111900000.0,38111900000.0,138971300000.0,32962000000.0,171933300000.0,171933300000.0,3272283179370.288
2024-09-30,0.0,0.19486,22519600000.0,0.0,0.0,7028200000.0,9796700000.0,29200300000.0,22519600000.0,12722900000.0,-3929900000.0,3929900000.0,7028200000.0,7028200000.0,152469100000.0,294436531.0,294190038.0,23.87,23.89,7028200000.0,7028200000.0,0.0,7028200000.0,-51400000.0,7079600000.0,,7079600000.0,1713400000.0,8793000000.0,2262200000.0,0.0,,0.0,-3929900000.0,3929900000.0,10475100000.0,123268800000.0,65738300000.0,9796700000.0,9796700000.0,38197100000.0,38197100000.0,133743900000.0,29200300000.0,162944200000.0,162944200000.0,3450161361608.1914
2024-06-30,-172329816.019648,0.195651,31884900000.0,-880800000.0,-880800000.0,14948200000.0,9179300000.0,32308300000.0,31004100000.0,21824800000.0,-3257600000.0,3257600000.0,15656670183.980352,14948200000.0,167193900000.0,294429781.0,294197993.0,50.77,50.81,14948200000.0,14948200000.0,0.0,14948200000.0,13700000.0,14934500000.0,,14934500000.0,3632700000.0,18567200000.0,1685000000.0,-880800000.0,0.0,880800000.0,-3257600000.0,3257600000.0,20991700000.0,134885600000.0,73634000000.0,9179300000.0,9179300000.0,44278900000.0,44278900000.0,155877300000.0,32308300000.0,188185600000.0,188185600000.0,3390942156270.742
