,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.291032,8463000000.0,6419000000.0,177000000.0,8390000000.0,8463000000.0,8286000000.0,843000000.0,,843000000.0,6419000000.0,6419000000.0,10236000000.0,87309576.0,86884136.0,73.52,73.88,6419000000.0,6419000000.0,0.0,6419000000.0,0.0,6419000000.0,6419000000.0,2635000000.0,9054000000.0,,843000000.0,,,843000000.0,8286000000.0,1846000000.0,861000000.0,177000000.0,177000000.0,808000000.0,808000000.0,10132000000.0,8390000000.0,18522000000.0,18522000000.0,768821089297.3438
2025-03-31,0.0,0.232539,8481000000.0,6439000000.0,169000000.0,5140000000.0,8481000000.0,8312000000.0,857000000.0,-78000000.0,779000000.0,6439000000.0,6439000000.0,9672000000.0,,,,,6439000000.0,6439000000.0,0.0,6439000000.0,0.0,6439000000.0,6439000000.0,1951000000.0,8390000000.0,58000000.0,857000000.0,,-78000000.0,779000000.0,7491000000.0,4532000000.0,453000000.0,169000000.0,169000000.0,872000000.0,872000000.0,12023000000.0,5140000000.0,17163000000.0,17163000000.0,
2024-12-31,0.0,0.297013,7139000000.0,5413000000.0,169000000.0,8518000000.0,7139000000.0,6970000000.0,743000000.0,,33000000.0,5413000000.0,5413000000.0,10182000000.0,87320536.0,86788520.0,61.99,62.37,5413000000.0,5413000000.0,0.0,5413000000.0,0.0,5413000000.0,5413000000.0,2287000000.0,7700000000.0,11000000.0,743000000.0,-710000000.0,,33000000.0,6970000000.0,1664000000.0,790000000.0,169000000.0,169000000.0,705000000.0,705000000.0,8634000000.0,8518000000.0,17152000000.0,17152000000.0,1059080140051.1719
2024-09-30,0.0,0.303136,8552000000.0,5777000000.0,178000000.0,7851000000.0,8552000000.0,8374000000.0,963000000.0,84000000.0,1047000000.0,5777000000.0,5777000000.0,9411000000.0,87292233.0,86728719.0,66.18,66.61,5777000000.0,5777000000.0,0.0,5777000000.0,0.0,5777000000.0,5777000000.0,2513000000.0,8290000000.0,13000000.0,963000000.0,,84000000.0,1047000000.0,7328000000.0,1560000000.0,730000000.0,178000000.0,178000000.0,652000000.0,652000000.0,8888000000.0,7851000000.0,16739000000.0,16739000000.0,948228460927.043
2024-06-30,0.0,0.293504,8951000000.0,6167000000.0,175000000.0,7568000000.0,8951000000.0,8776000000.0,589000000.0,47000000.0,636000000.0,6167000000.0,6167000000.0,9118000000.0,87240062.0,86700408.0,70.69,71.13,6167000000.0,6167000000.0,0.0,6167000000.0,0.0,6167000000.0,6167000000.0,2562000000.0,8729000000.0,,589000000.0,,47000000.0,636000000.0,8296000000.0,1550000000.0,778000000.0,175000000.0,175000000.0,597000000.0,597000000.0,9846000000.0,7568000000.0,17414000000.0,17414000000.0,817507375884.0234
