,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.197253,23529700000.0,0.0,0.0,14288300000.0,23721300000.0,23529700000.0,23529700000.0,-3052400000.0,3052400000.0,14288300000.0,14288300000.0,67618700000.0,1627369021.0,1627369021.0,8.78,8.78,14288300000.0,14288300000.0,0.0,14288300000.0,-2149800000.0,16438100000.0,0.0,16438100000.0,4039200000.0,20477300000.0,5171700000.0,0.0,-3052400000.0,3052400000.0,16322400000.0,43897400000.0,37462500000.0,60219800000.0,23721300000.0,83941100000.0,83941100000.0,668001956985.2777
2025-06-30,0.0,0.183056,27041400000.0,0.0,0.0,18964200000.0,25730300000.0,27041400000.0,27041400000.0,-1990600000.0,1990600000.0,18964200000.0,18964200000.0,62047900000.0,1626432247.0,1626432247.0,11.66,11.66,18964200000.0,18964200000.0,0.0,18964200000.0,-1500900000.0,20465100000.0,0.0,20465100000.0,4585700000.0,25050800000.0,2556800000.0,0.0,-1990600000.0,1990600000.0,17238700000.0,36317600000.0,30658400000.0,53556300000.0,25730300000.0,79286600000.0,79286600000.0,698001753739.1656
2025-03-31,-6073544850.248332,0.317267,42483200000.0,-19143300000.0,-19143300000.0,13101000000.0,30908500000.0,23339900000.0,23339900000.0,6483400000.0,1413600000.0,26170755149.751667,13101000000.0,42986400000.0,,,,,13101000000.0,13101000000.0,0.0,13101000000.0,-1868700000.0,14970700000.0,0.0,14970700000.0,6956500000.0,21926300000.0,-9841300000.0,-19811900000.0,6483400000.0,1413600000.0,45068800000.0,12077900000.0,3516400000.0,57146700000.0,30908500000.0,88055200000.0,88055200000.0,
2024-12-31,0.0,0.239707,22203600000.0,0.0,0.0,13388500000.0,29490000000.0,22203600000.0,22203600000.0,-3037300000.0,3037300000.0,13388500000.0,13388500000.0,62826800000.0,1626792224.0,1626792224.0,8.23,8.23,13388500000.0,13388500000.0,0.0,13388500000.0,-1183500000.0,14572000000.0,0.0,14572000000.0,4594300000.0,19166300000.0,3021100000.0,0.0,-3037300000.0,3037300000.0,20542200000.0,33336800000.0,27790300000.0,53879000000.0,29490000000.0,83369000000.0,83369000000.0,680298364620.2217
2024-09-30,0.0,0.211962,29052300000.0,0.0,0.0,20162000000.0,20787200000.0,29052300000.0,29052300000.0,-2795200000.0,2795200000.0,20162000000.0,20162000000.0,53187300000.0,1625967742.0,1625967742.0,12.4,12.4,20162000000.0,20162000000.0,0.0,20162000000.0,-529600000.0,20691600000.0,0.0,20691600000.0,5565500000.0,26257100000.0,7509900000.0,0.0,-2795200000.0,2795200000.0,19283000000.0,32400100000.0,26769100000.0,51683100000.0,20787200000.0,72470300000.0,72470300000.0,910857423279.5104
2024-06-30,,,,,,,,,,,,,,,1627075065.0,1627075065.0,11.59,11.59,,,,,,,,,,,,,,,,,,,,,,754096162429.7598
