,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.177683,17266500000.0,0.0,0.0,11550300000.0,261400000.0,8383000000.0,17266500000.0,17005100000.0,-2949200000.0,2949200000.0,11550300000.0,11550300000.0,-312900000.0,608408377.0,599308922.0,19.1,19.39,11620600000.0,11620600000.0,0.0,11620600000.0,-8100000.0,11628700000.0,70300000.0,11558400000.0,2497500000.0,14055900000.0,71800000.0,0.0,-2949200000.0,2949200000.0,16933300000.0,-8695900000.0,1792000000.0,261400000.0,261400000.0,8237400000.0,8383000000.0,16620400000.0,16620400000.0,521428720270.31726
2025-03-31,3871380000.0,0.3,-10003700000.0,12904600000.0,12904600000.0,-648100000.0,262200000.0,5477500000.0,2900900000.0,2638700000.0,2712200000.0,2905400000.0,-9681320000.0,-648100000.0,26940100000.0,,,,,-648100000.0,-648100000.0,0.0,-648100000.0,-16100000.0,-632000000.0,,-632000000.0,365300000.0,-266700000.0,546500000.0,900000.0,2712200000.0,2905400000.0,-16427200000.0,21462600000.0,-2724900000.0,262200000.0,106800000.0,5035400000.0,5477500000.0,10512900000.0,10512900000.0,
2024-12-31,0.0,0.235817,10705600000.0,0.0,0.0,5645200000.0,273000000.0,7610900000.0,10705600000.0,10432600000.0,-3026000000.0,3026000000.0,5645200000.0,5645200000.0,7135500000.0,609632829.0,598642630.0,9.26,9.43,5645200000.0,5645200000.0,0.0,5645200000.0,-14800000.0,5660000000.0,,5660000000.0,1746600000.0,7406600000.0,38900000.0,0.0,-3026000000.0,3026000000.0,10393700000.0,-475400000.0,1794600000.0,273000000.0,273000000.0,9918300000.0,7610900000.0,17529200000.0,17529200000.0,566564570747.16
2024-09-30,0.0,0.228298,18313700000.0,0.0,0.0,11200800000.0,234100000.0,8429600000.0,18313700000.0,18079600000.0,-3542900000.0,3542900000.0,11200800000.0,11200800000.0,1629200000.0,607418655.0,597694771.0,18.44,18.74,11200800000.0,11200800000.0,0.0,11200800000.0,-17200000.0,11218000000.0,,11218000000.0,3318700000.0,14536700000.0,153900000.0,0.0,-3542900000.0,3542900000.0,17925700000.0,-6800400000.0,1821100000.0,234100000.0,234100000.0,11125300000.0,8429600000.0,19554900000.0,19554900000.0,451976501283.12885
2024-06-30,0.0,0.165332,14069800000.0,0.0,0.0,8818900000.0,218400000.0,7635200000.0,14069800000.0,13851400000.0,-3265400000.0,3265400000.0,8818900000.0,8818900000.0,3161500000.0,604862826.0,596677943.0,14.58,14.78,8818900000.0,8818900000.0,0.0,8818900000.0,-16900000.0,8835800000.0,0.0,8835800000.0,1750200000.0,10586000000.0,192000000.0,0.0,-3265400000.0,3265400000.0,13659400000.0,-4473700000.0,1626600000.0,218400000.0,218400000.0,9185700000.0,7635200000.0,16820900000.0,16820900000.0,363849395137.9781
