,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.217116,8435300000.0,,,3768600000.0,3249300000.0,27661900000.0,8435300000.0,5186000000.0,-416200000.0,416200000.0,3768600000.0,3768600000.0,43255300000.0,3946100000.0,355528302.0,355528302.0,10.6,10.6,3768600000.0,3768600000.0,0.0,3768600000.0,34400000.0,3734200000.0,3734200000.0,1035600000.0,4769800000.0,275500000.0,,-416200000.0,416200000.0,4921500000.0,15593400000.0,5231300000.0,3249300000.0,3249300000.0,3946100000.0,20514900000.0,27661900000.0,48176800000.0,48176800000.0,1662983632605.0
2025-06-30,0.0,0.247906,8976600000.0,,,4296900000.0,2929300000.0,27141200000.0,8976600000.0,6047300000.0,-400400000.0,400400000.0,4296900000.0,4296900000.0,43285500000.0,4888200000.0,355409429.0,355409429.0,12.09,12.09,4296900000.0,4296900000.0,0.0,4296900000.0,49900000.0,4247000000.0,4247000000.0,1399900000.0,5646900000.0,405900000.0,,-400400000.0,400400000.0,5549300000.0,16144300000.0,5108100000.0,2929300000.0,2929300000.0,4888200000.0,21693600000.0,27141200000.0,48834800000.0,48834800000.0,2209758124807.5
2025-03-31,456957342.152736,0.250511,5428400000.0,1824100000.0,1824100000.0,3181500000.0,2719800000.0,26125100000.0,7252500000.0,4532700000.0,-682600000.0,375200000.0,1814357342.152736,3181500000.0,35265000000.0,2896800000.0,,,,,3181500000.0,3181500000.0,0.0,3181500000.0,65500000.0,3116000000.0,3116000000.0,1041500000.0,4157500000.0,-1364700000.0,1024700000.0,-682600000.0,375200000.0,4295500000.0,9139900000.0,-6372700000.0,2719800000.0,2719800000.0,2896800000.0,13435400000.0,26125100000.0,39560500000.0,39560500000.0,
2024-12-31,0.0,0.231112,9272400000.0,0.0,0.0,4972500000.0,2449300000.0,26162500000.0,9272400000.0,6823100000.0,-365200000.0,365200000.0,4972500000.0,4972500000.0,40595600000.0,3805600000.0,355432452.0,355432452.0,13.99,13.99,4972500000.0,4972500000.0,0.0,4972500000.0,7100000.0,4965400000.0,4965400000.0,1492500000.0,6457900000.0,590800000.0,0.0,-365200000.0,365200000.0,5970000000.0,14433100000.0,4895000000.0,2449300000.0,2449300000.0,3805600000.0,20403100000.0,26162500000.0,46565600000.0,46565600000.0,2529678189611.7363
2024-09-30,0.0,0.282235,6967600000.0,0.0,0.0,3387400000.0,1969500000.0,23639300000.0,6967600000.0,4998100000.0,-330000000.0,330000000.0,3387400000.0,3387400000.0,37079000000.0,3907900000.0,355456453.0,355456453.0,9.53,9.53,3387500000.0,3387500000.0,-100000.0,3387400000.0,36800000.0,3350600000.0,3350600000.0,1317500000.0,4668100000.0,452700000.0,0.0,-330000000.0,330000000.0,4487700000.0,13439700000.0,4424100000.0,1969500000.0,1969500000.0,3907900000.0,17927400000.0,23639300000.0,41566700000.0,41566700000.0,2690127586783.7476
2024-06-30,,,,0.0,0.0,,,,,,,,,,,,355588768.0,355588768.0,11.04,11.04,,,,,,,,,,,0.0,,,,,,,,,,,,,1946886529184.8594
