,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.342134,18425800000.0,0.0,0.0,6100400000.0,3148300000.0,74961600000.0,18425800000.0,15277500000.0,-5505600000.0,5505600000.0,6100400000.0,6100400000.0,107110400000.0,475109034.0,475109034.0,12.84,12.84,6100400000.0,6100400000.0,0.0,6100400000.0,-328200000.0,6428600000.0,0.0,6428600000.0,3343300000.0,9771900000.0,396600000.0,0.0,-5505600000.0,5505600000.0,14990100000.0,32148800000.0,18475900000.0,3148300000.0,3148300000.0,47138900000.0,74961600000.0,122100500000.0,122100500000.0,1386368161212.0
2025-03-31,84944124.596766,0.314142,17546700000.0,270400000.0,270400000.0,6182500000.0,2758500000.0,69173600000.0,17817100000.0,15058600000.0,52853000000.0,5324800000.0,5997044124.596766,6481600000.0,82293900000.0,,,,,6481600000.0,6481600000.0,0.0,6481600000.0,-493500000.0,6975100000.0,,6676000000.0,3057800000.0,9733800000.0,-1228300000.0,1042900000.0,52853000000.0,5324800000.0,-41851200000.0,13120300000.0,-6167900000.0,2758500000.0,-213000000.0,-28730900000.0,69173600000.0,40442700000.0,40442700000.0,
2024-12-31,0.0,0.327369,17088600000.0,0.0,0.0,5660300000.0,2639200000.0,67144400000.0,17088600000.0,14449400000.0,-5390200000.0,5390200000.0,5660300000.0,5660300000.0,97336000000.0,475256087.0,475256087.0,11.91,11.91,5660300000.0,5660300000.0,0.0,5660300000.0,-433200000.0,6093500000.0,,6093500000.0,2965700000.0,9059200000.0,651100000.0,0.0,-5390200000.0,5390200000.0,14010300000.0,30191600000.0,18424700000.0,2639200000.0,2639200000.0,44201900000.0,67144400000.0,111346300000.0,111346300000.0,1120995559487.8494
2024-09-30,0.0,0.338539,16389600000.0,0.0,0.0,5534400000.0,2539800000.0,68335100000.0,16389600000.0,13849800000.0,-5065000000.0,5065000000.0,5534400000.0,5604900000.0,98256900000.0,474991525.0,474991525.0,11.8,11.8,5604900000.0,5604900000.0,0.0,5604900000.0,-276400000.0,5881300000.0,,5810800000.0,2974000000.0,8784800000.0,323100000.0,0.0,-5065000000.0,5065000000.0,13715000000.0,29921800000.0,18211800000.0,2539800000.0,2539800000.0,43636800000.0,68335100000.0,111971900000.0,111971900000.0,1343334246993.3472
2024-06-30,0.0,0.34659,14716400000.0,0.0,0.0,4533300000.0,2413400000.0,62413200000.0,14716400000.0,12303000000.0,-4998700000.0,4998700000.0,4533300000.0,4608800000.0,91069100000.0,475134021.0,475134021.0,9.7,9.7,4608800000.0,4608800000.0,0.0,4608800000.0,-239400000.0,4848200000.0,75500000.0,4772700000.0,2531600000.0,7304300000.0,407700000.0,0.0,-4998700000.0,4998700000.0,12075600000.0,28655900000.0,17054400000.0,2413400000.0,2413400000.0,40731500000.0,62413200000.0,103144700000.0,103144700000.0,1118980523288.795
