,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.169067,6135300000.0,0.0,0.0,4212500000.0,316200000.0,3896100000.0,6135300000.0,5819100000.0,-749500000.0,749500000.0,4212500000.0,4212500000.0,4988300000.0,363459879.0,363459879.0,11.59,11.59,4212500000.0,4212500000.0,0.0,4212500000.0,4212500000.0,4212500000.0,857100000.0,5069600000.0,864300000.0,0.0,-749500000.0,749500000.0,4887200000.0,1092200000.0,454600000.0,316200000.0,316200000.0,5979400000.0,3896100000.0,9875500000.0,9875500000.0,691003382161.567
2025-03-31,192911477.828367,0.249405,5965343000.0,773488000.0,773488000.0,4331737000.0,241968000.0,4173698000.0,6738831000.0,6496863000.0,292947000.0,725795000.0,3751160477.828367,4331737000.0,5105577000.0,,,,,4331737000.0,4331737000.0,0.0,4331737000.0,4331737000.0,4331737000.0,1439331000.0,5771068000.0,-1235756000.0,8357000.0,292947000.0,725795000.0,5938755000.0,931879000.0,447922000.0,241968000.0,234899000.0,6870634000.0,4173698000.0,11044332000.0,11044332000.0,
2024-12-31,0.0,0.236832,9080500000.0,0.0,0.0,6183800000.0,232500000.0,4647500000.0,9080500000.0,8848000000.0,-745200000.0,745200000.0,6183800000.0,6183800000.0,5781900000.0,363539095.0,363539095.0,17.01,17.01,6183800000.0,6183800000.0,0.0,6183800000.0,6183800000.0,6183800000.0,1919000000.0,8102800000.0,491900000.0,0.0,-745200000.0,745200000.0,8328900000.0,1134400000.0,564200000.0,232500000.0,232500000.0,9463300000.0,4647500000.0,14110800000.0,14110800000.0,836407780069.5093
2024-09-30,0.0,0.246693,8550000000.0,0.0,0.0,5894400000.0,208300000.0,4297200000.0,8550000000.0,8341700000.0,-517000000.0,517000000.0,5894400000.0,5894400000.0,5269400000.0,363627390.0,363627390.0,16.21,16.21,5894400000.0,5894400000.0,0.0,5894400000.0,5894400000.0,5894400000.0,1930300000.0,7824700000.0,387300000.0,0.0,-517000000.0,517000000.0,7929500000.0,972200000.0,463400000.0,208300000.0,208300000.0,8901700000.0,4297200000.0,13198900000.0,13198900000.0,684157699023.2117
2024-06-30,0.0,0.245823,8541000000.0,0.0,0.0,5845100000.0,201800000.0,5331500000.0,8541000000.0,8339200000.0,-588900000.0,588900000.0,5845100000.0,5845100000.0,6102900000.0,363501244.0,363501244.0,16.08,16.08,5845100000.0,5845100000.0,0.0,5845100000.0,5845100000.0,5845100000.0,1905200000.0,7750300000.0,367900000.0,0.0,-588900000.0,588900000.0,7948700000.0,771400000.0,307800000.0,201800000.0,201800000.0,8720100000.0,5331500000.0,14051600000.0,14051600000.0,637530730204.2192
