,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.20604,0.0,0.0,4534700000.0,49331500000.0,47090000000.0,96421500000.0,4534700000.0,4534700000.0,7433934426.0,7314032258.0,0.61,0.62,4534700000.0,4534700000.0,4534700000.0,4534700000.0,0.0,4534700000.0,1176800000.0,5711500000.0,0.0,49297500000.0,31691600000.0,71600200000.0,71600200000.0,531016029278.1627
2025-03-31,15607039.962825,0.141496,110300000.0,110300000.0,2956000000.0,49076100000.0,45053300000.0,94129400000.0,2861307039.962825,2956000000.0,,,,,2956000000.0,2956000000.0,2956000000.0,2956000000.0,,2956000000.0,487200000.0,3443200000.0,110300000.0,53653400000.0,11323600000.0,69340900000.0,69340900000.0,
2024-12-31,0.0,0.194215,0.0,0.0,3401700000.0,49025000000.0,44404900000.0,93429900000.0,3401700000.0,3401700000.0,7395000000.0,7395000000.0,0.46,0.46,3401700000.0,3401700000.0,3401700000.0,3401700000.0,0.0,3401700000.0,819900000.0,4221600000.0,0.0,49222900000.0,33079200000.0,66823700000.0,66823700000.0,465397000637.05444
2024-09-30,0.0,0.135256,0.0,0.0,2119400000.0,47882900000.0,41687300000.0,89570200000.0,2119400000.0,2119400000.0,7569285714.0,7569285714.0,0.28,0.28,2119400000.0,2119400000.0,2119400000.0,2119400000.0,0.0,2119400000.0,331500000.0,2450900000.0,0.0,45385600000.0,29215500000.0,65155900000.0,65155900000.0,560940365197.9426
2024-06-30,0.0,0.246259,0.0,0.0,6426400000.0,46954400000.0,40932500000.0,87886900000.0,6426400000.0,6426400000.0,7140444444.0,7061978022.0,0.9,0.91,6426400000.0,6426400000.0,6426400000.0,6426400000.0,0.0,6426400000.0,2099600000.0,8526000000.0,0.0,44224500000.0,28882800000.0,62694500000.0,62694500000.0,578319276594.3479
