,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.290098,20311200000.0,0.0,0.0,8812600000.0,4357700000.0,2902400000.0,20311200000.0,15953500000.0,-2608000000.0,2608000000.0,8812600000.0,8812600000.0,18480300000.0,10047358491.0,10047358491.0,1.06,1.06,10650200000.0,10650200000.0,0.0,10650200000.0,-661400000.0,11311600000.0,1837600000.0,9474000000.0,3871500000.0,13345500000.0,2289900000.0,0.0,-2608000000.0,2608000000.0,13657400000.0,15577900000.0,6985200000.0,4357700000.0,4357700000.0,29235300000.0,2902400000.0,32137700000.0,32137700000.0,856997549550.3462
2025-03-31,1268378711.514792,0.22204,29704700000.0,5712400000.0,5712400000.0,7999500000.0,3147400000.0,5938400000.0,35417100000.0,32269700000.0,5162600000.0,21138800000.0,3555478711.514792,7999500000.0,13545700000.0,,,,,8536400000.0,8536400000.0,0.0,8536400000.0,-659900000.0,9196300000.0,536900000.0,8659400000.0,2471500000.0,11130900000.0,-9685500000.0,5781700000.0,5162600000.0,21138800000.0,9863900000.0,7607300000.0,-5067400000.0,3147400000.0,3117300000.0,17471200000.0,5938400000.0,23409600000.0,23409600000.0,
2024-12-31,0.0,0.260204,13527800000.0,0.0,0.0,1974400000.0,2967100000.0,1039000000.0,13527800000.0,10560700000.0,-6555000000.0,6555000000.0,1974400000.0,1974400000.0,15620100000.0,10053478261.0,10053478261.0,0.23,0.23,2312300000.0,2312300000.0,0.0,2312300000.0,-989000000.0,3301300000.0,337900000.0,2963400000.0,1042300000.0,4005700000.0,3301300000.0,0.0,-6555000000.0,6555000000.0,7247500000.0,14581100000.0,4747000000.0,2967100000.0,2967100000.0,21828600000.0,1039000000.0,22867600000.0,22867600000.0,791119427387.7161
2024-09-30,0.0,0.387361,21556700000.0,0.0,0.0,7968900000.0,2852600000.0,3142400000.0,21556700000.0,18704100000.0,-3079900000.0,3079900000.0,7968900000.0,7968900000.0,15320300000.0,10000333333.0,10000333333.0,0.9,0.9,9000300000.0,9000300000.0,0.0,9000300000.0,-1603100000.0,10603400000.0,1031400000.0,9572000000.0,6052200000.0,15624200000.0,3501600000.0,0.0,-3079900000.0,3079900000.0,15199000000.0,12177900000.0,5592600000.0,2852600000.0,2852600000.0,27376900000.0,3142400000.0,30519300000.0,30519300000.0,926009488359.7386
2024-06-30,0.0,0.282145,19539000000.0,0.0,0.0,9349500000.0,2963300000.0,2831200000.0,19539000000.0,16575700000.0,-2439000000.0,2439000000.0,9349500000.0,9349500000.0,13810600000.0,10017352941.0,10017352941.0,1.02,1.02,10217700000.0,10217700000.0,0.0,10217700000.0,-798600000.0,11016300000.0,868200000.0,10148100000.0,3988600000.0,14136700000.0,3437200000.0,0.0,-2439000000.0,2439000000.0,13131400000.0,10979400000.0,4591300000.0,2963300000.0,2963300000.0,24110800000.0,2831200000.0,26942000000.0,26942000000.0,978727374400.6803
