,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,47600066.655006,0.189559,4416400000.0,251110000.0,251110000.0,3163950000.0,309840000.0,221810000.0,4667510000.0,4357670000.0,-69920000.0,69920000.0,2960440066.655006,3163950000.0,5565560000.0,648350410.0,647024540.0,4.88,4.89,3163950000.0,3163950000.0,0.0,3163950000.0,-311020000.0,3474970000.0,3474970000.0,812780000.0,4287750000.0,1617750000.0,251110000.0,-251110000.0,0.0,-69920000.0,69920000.0,2488950000.0,5343750000.0,547030000.0,309840000.0,309840000.0,1082990000.0,1082990000.0,7832700000.0,221810000.0,8054510000.0,8054510000.0,845660204972.6343
2025-06-30,-9471913.793903,0.204621,4731720000.0,-46290000.0,-46290000.0,2959170000.0,308930000.0,219950000.0,4685430000.0,4376500000.0,-65900000.0,65900000.0,2995988086.206097,2959170000.0,5572720000.0,648940789.0,647520788.0,4.56,4.57,2959170000.0,2959170000.0,0.0,2959170000.0,-469390000.0,3428560000.0,3428560000.0,882040000.0,4310600000.0,2132130000.0,-46290000.0,-720000.0,47010000.0,-65900000.0,65900000.0,2335900000.0,5352770000.0,501710000.0,308930000.0,308930000.0,1271420000.0,1271420000.0,7688670000.0,219950000.0,7908620000.0,7908620000.0,959634581596.2085
2025-03-31,712353235.825154,0.085922,-504050000.0,8290680000.0,8290680000.0,4633880000.0,305800000.0,208030000.0,7786630000.0,7480830000.0,2526490000.0,64700000.0,-2944446764.174846,4633880000.0,5229220000.0,,,,,4633880000.0,4633880000.0,0.0,4633880000.0,-2145040000.0,6778920000.0,6778920000.0,637210000.0,7416130000.0,-5510990000.0,1898050000.0,-1628290000.0,-269760000.0,2526490000.0,64700000.0,2267030000.0,5021190000.0,-1094570000.0,305800000.0,850000.0,2408060000.0,999730000.0,7288220000.0,208030000.0,7496250000.0,7496250000.0,
2024-12-31,-99373265.263226,0.22278,4042010000.0,29580000.0,-446060000.0,2425910000.0,299290000.0,198050000.0,4071590000.0,3772300000.0,-61420000.0,61420000.0,3248236734.736774,2425910000.0,4818440000.0,646885545.0,646885545.0,3.750138,3.750138,2425910000.0,2425910000.0,0.0,2425910000.0,-455260000.0,2884170000.0,2884170000.0,826710000.0,3710880000.0,1870850000.0,-446060000.0,-29580000.0,0.0,-61420000.0,61420000.0,2405520000.0,4620390000.0,446320000.0,299290000.0,299290000.0,818910000.0,818910000.0,7025910000.0,198050000.0,7223960000.0,7223960000.0,1117895607970.2173
2024-09-30,494253000.0,0.3,3681670000.0,1647510000.0,1647510000.0,232590000.0,268830000.0,191420000.0,5329180000.0,5060350000.0,-59870000.0,59870000.0,-920667000.0,232590000.0,4861260000.0,646083333.0,646083333.0,0.36,0.36,232590000.0,232590000.0,0.0,232590000.0,-614750000.0,847340000.0,847340000.0,4153140000.0,5000480000.0,2141230000.0,1647510000.0,-1615010000.0,-32500000.0,-59870000.0,59870000.0,2146980000.0,4669840000.0,433100000.0,268830000.0,268830000.0,910080000.0,910080000.0,6816820000.0,191420000.0,7008240000.0,7008240000.0,1040676125999.1361
2024-06-30,,,,,,,,,,,,,,,,648752089.0,645157895.0,3.59,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,869058635132.9608
