,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.230655,30039000000.0,0.0,0.0,7445800000.0,14414900000.0,123698400000.0,30039000000.0,15624100000.0,-5946000000.0,5946000000.0,7445800000.0,7445800000.0,245945900000.0,4136555556.0,4136555556.0,1.8,1.8,7445800000.0,7445800000.0,0.0,7445800000.0,0.0,7445800000.0,7445800000.0,2232300000.0,9678100000.0,1621400000.0,0.0,-5946000000.0,5946000000.0,13271700000.0,122247500000.0,78355100000.0,14414900000.0,14414900000.0,135519200000.0,123698400000.0,259217600000.0,259217600000.0,539225731335.4019
2025-03-31,-211546207.179537,0.245129,38980700000.0,-863000000.0,-863000000.0,12510000000.0,15238400000.0,264405700000.0,38117700000.0,22879300000.0,-3533300000.0,6307200000.0,13161453792.820463,12510000000.0,262124400000.0,,,,,12510000000.0,12510000000.0,0.0,12510000000.0,200000.0,12509800000.0,12509800000.0,4062300000.0,16572100000.0,-1478300000.0,-863000000.0,-3533300000.0,6307200000.0,23649000000.0,-2281300000.0,-76641400000.0,15238400000.0,15238400000.0,21367700000.0,264405700000.0,285773400000.0,285773400000.0,
2024-12-31,85590000.0,0.3,23945900000.0,285300000.0,285300000.0,1418900000.0,14206000000.0,126643700000.0,24231200000.0,10025200000.0,-6796300000.0,6796300000.0,1219190000.0,1418900000.0,238808400000.0,4173235294.0,4173235294.0,0.34,0.34,1418900000.0,1418900000.0,0.0,1418900000.0,0.0,1418900000.0,1418900000.0,1810000000.0,3228900000.0,2335200000.0,285300000.0,-6796300000.0,6796300000.0,6090700000.0,112164700000.0,70709200000.0,14206000000.0,14206000000.0,118255400000.0,126643700000.0,244899100000.0,244899100000.0,466274160641.2599
2024-09-30,0.0,0.235388,32349200000.0,0.0,0.0,8971500000.0,13039300000.0,115910000000.0,32349200000.0,19309900000.0,-7576500000.0,7576500000.0,8971500000.0,8971500000.0,230664200000.0,4134331797.0,4134331797.0,2.17,2.17,8971500000.0,8971500000.0,0.0,8971500000.0,,8971500000.0,8971500000.0,2761900000.0,11733400000.0,1669800000.0,0.0,-7576500000.0,7576500000.0,16087800000.0,114754200000.0,72949300000.0,13039300000.0,13039300000.0,130842000000.0,115910000000.0,246752000000.0,246752000000.0,577195010976.018
2024-06-30,-518381649.505556,0.166276,25036100000.0,-3117600000.0,-3117600000.0,817800000.0,14023100000.0,120813400000.0,21918500000.0,7895400000.0,-6914500000.0,6914500000.0,3417018350.494444,817800000.0,231801500000.0,4089000000.0,4089000000.0,0.2,0.2,817800000.0,817800000.0,0.0,817800000.0,0.0,817800000.0,817800000.0,163100000.0,980900000.0,1769900000.0,-3117600000.0,-6914500000.0,6914500000.0,8176600000.0,110988100000.0,69138600000.0,14023100000.0,14023100000.0,119164700000.0,120813400000.0,239978100000.0,239978100000.0,595675819107.0557
