,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.255806,45128000000.0,17368000000.0,17043000000.0,30701000000.0,45128000000.0,28085000000.0,-3965000000.0,4747000000.0,782000000.0,17368000000.0,17368000000.0,53718000000.0,2635508346.0,2635508346.0,6.59,6.59,17368000000.0,17368000000.0,0.0,17368000000.0,17368000000.0,17368000000.0,5970000000.0,23338000000.0,445000000.0,-3965000000.0,4747000000.0,782000000.0,26858000000.0,23017000000.0,4580000000.0,17043000000.0,,17043000000.0,49875000000.0,30701000000.0,80576000000.0,80576000000.0,1109812580586.4663
2025-03-31,0.0,0.247101,45937000000.0,17791000000.0,17808000000.0,28304000000.0,45937000000.0,28129000000.0,-4295000000.0,4499000000.0,496000000.0,17791000000.0,17791000000.0,50249000000.0,,,,,17791000000.0,17791000000.0,0.0,17791000000.0,17791000000.0,17791000000.0,5839000000.0,23630000000.0,-2482000000.0,-4295000000.0,4499000000.0,496000000.0,27022000000.0,21945000000.0,-43131000000.0,16930000000.0,51000000.0,16879000000.0,48967000000.0,28304000000.0,77271000000.0,77271000000.0,
2024-12-31,0.0,0.232927,72489000000.0,40032000000.0,15685000000.0,28253000000.0,72489000000.0,56804000000.0,-2546000000.0,4616000000.0,2070000000.0,40032000000.0,40032000000.0,21188000000.0,2638892551.0,2637154150.0,15.17,15.18,40032000000.0,40032000000.0,0.0,40032000000.0,40032000000.0,40032000000.0,12156000000.0,52188000000.0,448000000.0,-2546000000.0,4616000000.0,2070000000.0,54286000000.0,-7065000000.0,3612000000.0,15685000000.0,43000000.0,15642000000.0,47221000000.0,28253000000.0,75474000000.0,75474000000.0,901379256278.1769
2024-09-30,0.0,0.253884,50216000000.0,22235000000.0,15801000000.0,28925000000.0,50216000000.0,34415000000.0,-4175000000.0,4614000000.0,439000000.0,22235000000.0,22235000000.0,41383000000.0,2678915663.0,2678915663.0,8.3,8.3,22235000000.0,22235000000.0,0.0,22235000000.0,22235000000.0,22235000000.0,7566000000.0,29801000000.0,706000000.0,-4175000000.0,4614000000.0,439000000.0,33270000000.0,12458000000.0,-5416000000.0,15801000000.0,,15801000000.0,45728000000.0,28925000000.0,74653000000.0,74653000000.0,1051608310809.0427
2024-06-30,0.0,0.256926,46081000000.0,19259000000.0,15605000000.0,29006000000.0,46081000000.0,30476000000.0,-4082000000.0,4558000000.0,476000000.0,19259000000.0,19259000000.0,43982000000.0,2693566434.0,2693566434.0,7.15,7.15,19259000000.0,19259000000.0,0.0,19259000000.0,19259000000.0,19259000000.0,6659000000.0,25918000000.0,152000000.0,-4082000000.0,4558000000.0,476000000.0,29848000000.0,14976000000.0,11189000000.0,15605000000.0,,15605000000.0,44824000000.0,29006000000.0,73830000000.0,73830000000.0,1010895449799.7504
