,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.256624,24206340000.0,376080000.0,45200750000.0,25712240000.0,70912990000.0,24206340000.0,24206340000.0,401498424.0,401498424.0,60.29,60.29,24206340000.0,24206340000.0,24206340000.0,89750000.0,24116590000.0,24116590000.0,8325410000.0,32442000000.0,922040000.0,12217900000.0,4572610000.0,376080000.0,376080000.0,47613640000.0,47613640000.0,1235450839699.2305
2025-06-30,0.0,0.256132,20162000000.0,347510000.0,39330970000.0,23549130000.0,62880100000.0,20162000000.0,20162000000.0,401473517.0,401473517.0,50.22,50.22,20162000000.0,20162000000.0,20162000000.0,419540000.0,19742460000.0,19742460000.0,6797810000.0,26540270000.0,763070000.0,11454730000.0,4142690000.0,347510000.0,347510000.0,41301040000.0,41301040000.0,1053426322049.9019
2025-03-31,0.0,0.252703,14776790000.0,347120000.0,33545750000.0,21112180000.0,54657930000.0,14776790000.0,14776790000.0,,,,,14776790000.0,14776790000.0,14776790000.0,337500000.0,14439290000.0,14439290000.0,4882740000.0,19322030000.0,-732990000.0,11952610000.0,-4463910000.0,347120000.0,318760000.0,34823180000.0,34823180000.0,
2024-12-31,0.0,0.262298,13891820000.0,305780000.0,31677660000.0,18995520000.0,50673180000.0,13891820000.0,13891820000.0,392868213.0,392868213.0,35.36,35.36,13891820000.0,13891820000.0,13891820000.0,-23630000.0,13915450000.0,13915450000.0,4947780000.0,18863230000.0,616410000.0,10089550000.0,3983370000.0,305780000.0,305780000.0,33221340000.0,33221340000.0,829079016925.6604
2024-09-30,0.0,0.266711,12716020000.0,248610000.0,29744320000.0,18070270000.0,47814590000.0,12716020000.0,12716020000.0,401516261.0,401516261.0,31.67,31.67,12716020000.0,12716020000.0,12716020000.0,-496210000.0,13212230000.0,13212230000.0,4805540000.0,18017770000.0,659460000.0,9286610000.0,3735760000.0,248610000.0,248610000.0,31503670000.0,31503670000.0,805957385632.2235
2024-06-30,,,,,,,,,,401528458.0,401528458.0,28.99,28.99,,,,,,,,,,,,,,,,712366822093.2063
