,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.129746,10244600000.0,0.0,0.0,7650600000.0,936100000.0,14010300000.0,10244600000.0,9308500000.0,-350200000.0,350200000.0,7650600000.0,7650600000.0,31738300000.0,119559306.0,119559306.0,63.99,63.99,7650600000.0,7650600000.0,0.0,7650600000.0,-140500000.0,7791100000.0,7791100000.0,1162300000.0,8958300000.0,1036900000.0,0.0,,-350200000.0,350200000.0,8271600000.0,17728000000.0,9689400000.0,936100000.0,936100000.0,25999600000.0,14010300000.0,40009900000.0,40009900000.0,648609235050.0
2025-06-30,17221329.16564,0.133189,8755400000.0,129300000.0,129300000.0,6642600000.0,876800000.0,11711600000.0,8884700000.0,8007900000.0,-297800000.0,297800000.0,6530521329.16564,6642600000.0,27197700000.0,119557235.0,119557235.0,55.56,55.56,6642600000.0,6642600000.0,0.0,6642600000.0,-36500000.0,6679100000.0,6679100000.0,1026900000.0,7710100000.0,1364900000.0,129300000.0,-129300000.0,-297800000.0,297800000.0,6513700000.0,15486100000.0,7676800000.0,876800000.0,876800000.0,21999800000.0,11711600000.0,33711400000.0,33711400000.0,589523590834.8657
2025-03-31,80963839.128021,0.185018,4590300000.0,437600000.0,437600000.0,3058600000.0,1124900000.0,13725700000.0,5027900000.0,3903000000.0,3303600000.0,-60400000.0,2701963839.128021,3058600000.0,26758100000.0,,,,,3058600000.0,3058600000.0,0.0,3058600000.0,-165300000.0,3223900000.0,3223900000.0,733300000.0,3963400000.0,-3238200000.0,-91300000.0,,3303600000.0,-60400000.0,3080400000.0,13032400000.0,-10284100000.0,1124900000.0,841300000.0,16112800000.0,13725700000.0,29838500000.0,29838500000.0,
2024-12-31,0.0,0.12349,8523800000.0,0.0,0.0,6258200000.0,852800000.0,12043300000.0,8523800000.0,7671000000.0,-360300000.0,360300000.0,6258200000.0,6258200000.0,27001700000.0,119568208.0,119568208.0,52.34,52.34,6258200000.0,6258200000.0,0.0,6258200000.0,-149700000.0,6407900000.0,6407900000.0,902800000.0,7310700000.0,929900000.0,0.0,,-360300000.0,360300000.0,6741100000.0,14958400000.0,7857500000.0,852800000.0,852800000.0,21699500000.0,12043300000.0,33742800000.0,33742800000.0,667256690098.7188
2024-09-30,0.0,0.100351,8873100000.0,0.0,0.0,6886400000.0,789100000.0,12047000000.0,8873100000.0,8084000000.0,-281400000.0,281400000.0,6886400000.0,6886400000.0,27407500000.0,119555556.0,119555556.0,57.6,57.6,6886400000.0,6886400000.0,0.0,6886400000.0,-133200000.0,7019600000.0,7019600000.0,783000000.0,7802600000.0,1344800000.0,0.0,,-281400000.0,281400000.0,6739200000.0,15360500000.0,8466500000.0,789100000.0,789100000.0,22099700000.0,12047000000.0,34146700000.0,34146700000.0,716793759826.1191
2024-06-30,,,,,,,,,,,,,,,,119552632.0,119552632.0,45.6,45.6,,,,,,,,,,,,,,,,,,,,,,,,590559004791.1367
