,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.248188,0.0,0.0,5278700000.0,858700000.0,21883200000.0,22799800000.0,44683000000.0,5278700000.0,5278700000.0,1300172414.0,1300172414.0,4.06,4.06,5278700000.0,5278700000.0,5278700000.0,-10900000.0,5289600000.0,5289600000.0,1746200000.0,7035800000.0,0.0,112300000.0,10771100000.0,3570700000.0,858700000.0,858700000.0,24556500000.0,24556500000.0,342473698637.6404
2025-03-31,10864679.147456,0.251497,43200000.0,43200000.0,4572200000.0,845200000.0,19990300000.0,23250200000.0,43240500000.0,4539864679.147456,4572200000.0,,,,,4572200000.0,4572200000.0,4572200000.0,10300000.0,4561900000.0,4561900000.0,1532800000.0,6094700000.0,43200000.0,,11023400000.0,881800000.0,845200000.0,432100000.0,23883800000.0,23883800000.0,
2024-12-31,0.0,0.255772,0.0,0.0,9175700000.0,822000000.0,20902200000.0,21749100000.0,42651300000.0,9175700000.0,9175700000.0,1270943242.0,1269232686.0,7.219599,7.229328,9175700000.0,9175700000.0,9175700000.0,-700000.0,9176400000.0,9176400000.0,3153700000.0,12330100000.0,0.0,,10164000000.0,3372100000.0,822000000.0,822000000.0,23294300000.0,23294300000.0,328131664783.51904
2024-09-30,0.0,0.254188,0.0,0.0,3894200000.0,786700000.0,19917400000.0,20624200000.0,40541600000.0,3894200000.0,3894200000.0,1272614379.0,1272614379.0,3.06,3.06,3894200000.0,3894200000.0,3894200000.0,-6100000.0,3900300000.0,3900300000.0,1329300000.0,5229600000.0,0.0,,9474100000.0,3105500000.0,786700000.0,786700000.0,21941100000.0,21941100000.0,420151532255.55664
2024-06-30,0.0,0.248628,0.0,0.0,4976600000.0,758200000.0,19627300000.0,19603300000.0,39230600000.0,4976600000.0,4976600000.0,1272787724.0,1272787724.0,3.91,3.91,4976600000.0,4976600000.0,4976600000.0,6500000.0,4970100000.0,4970100000.0,1644600000.0,6614700000.0,0.0,38800000.0,9566100000.0,2891700000.0,758200000.0,758200000.0,21535600000.0,21535600000.0,365774402658.6835
