,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.256573,20064000000.0,,,13088900000.0,2102700000.0,80811900000.0,20064000000.0,17961300000.0,-192500000.0,192500000.0,13088900000.0,13088900000.0,105646200000.0,200319865.0,200105488.0,65.34,65.41,13088900000.0,13088900000.0,0.0,13088900000.0,-120900000.0,13209800000.0,13209800000.0,4559000000.0,17768800000.0,2403900000.0,,,-192500000.0,192500000.0,16537700000.0,24834300000.0,15476600000.0,2102700000.0,2102700000.0,41372000000.0,80811900000.0,122183900000.0,122183900000.0,1095077283080.0
2025-06-30,0.0,0.197722,23522800000.0,,,17052900000.0,2056100000.0,64478400000.0,23522800000.0,21466700000.0,-206600000.0,206600000.0,17052900000.0,17052900000.0,85204600000.0,200221909.0,200010556.0,85.17,85.26,17052900000.0,17052900000.0,0.0,17052900000.0,-3600000.0,17056500000.0,17056500000.0,4203600000.0,21260100000.0,3099400000.0,,,-206600000.0,206600000.0,12072900000.0,20726200000.0,12179400000.0,2056100000.0,2056100000.0,32799100000.0,64478400000.0,97277500000.0,97277500000.0,834841228563.2754
2025-03-31,1446282339.559463,0.253152,12146700000.0,5713100000.0,5713100000.0,11613300000.0,2041400000.0,65695100000.0,17859800000.0,15818400000.0,4288100000.0,169300000.0,7346482339.559463,11613300000.0,84803200000.0,,,,,11613300000.0,11613300000.0,0.0,11613300000.0,-74200000.0,11687500000.0,11687500000.0,3961600000.0,15649100000.0,2741900000.0,-19000000.0,,4288100000.0,169300000.0,12785600000.0,19108100000.0,-12532700000.0,2041400000.0,356500000.0,31893700000.0,65695100000.0,97588800000.0,97588800000.0,
2024-12-31,0.0,0.25957,17224000000.0,0.0,0.0,11075500000.0,2089100000.0,66725200000.0,17224000000.0,15134900000.0,-165500000.0,165500000.0,11075500000.0,11075500000.0,89610800000.0,200244079.0,199990971.0,55.31,55.38,11075500000.0,11075500000.0,0.0,11075500000.0,-8300000.0,11083800000.0,11083800000.0,3885600000.0,14969400000.0,3064200000.0,0.0,,-165500000.0,165500000.0,12988100000.0,22885600000.0,13964100000.0,2089100000.0,2089100000.0,35873700000.0,66725200000.0,102598900000.0,102598900000.0,799624934458.8179
2024-09-30,0.0,0.271562,16884700000.0,0.0,0.0,10637100000.0,2061000000.0,69263900000.0,16884700000.0,14823700000.0,-183200000.0,183200000.0,10637100000.0,10637100000.0,91529400000.0,200397513.0,199983080.0,53.08,53.19,10637100000.0,10637100000.0,0.0,10637100000.0,-27600000.0,10664700000.0,10664700000.0,3975800000.0,14640500000.0,2386600000.0,0.0,0.0,-183200000.0,183200000.0,13299900000.0,22265500000.0,13475100000.0,2061000000.0,2061000000.0,35565400000.0,69263900000.0,104829300000.0,104829300000.0,1097821764858.2422
2024-06-30,,,,0.0,0.0,,,,,,,,,,,200323693.0,199940738.0,52.21,52.31,,,,,,,,,,,0.0,,,,,,,,,,,,,1064259653409.0635
