,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,-2243410962.660388,0.274256,47661200000.0,-8180000000.0,-8180000000.0,22786300000.0,7005500000.0,28147600000.0,39481200000.0,32475700000.0,-748000000.0,748000000.0,28722889037.33961,22786300000.0,104140000000.0,2398557895.0,2398557895.0,9.5,9.5,22786300000.0,22786300000.0,0.0,22786300000.0,-142400000.0,22928700000.0,22928700000.0,8701500000.0,31727700000.0,4644600000.0,-8180000000.0,,-748000000.0,748000000.0,33720700000.0,75992400000.0,41623600000.0,7005500000.0,7005500000.0,109713100000.0,28147600000.0,137860700000.0,137860700000.0,4006075963795.3037
2025-03-31,502635757.063623,0.336076,38177200000.0,1495600000.0,1495600000.0,21498800000.0,6637900000.0,40873400000.0,39672800000.0,33034900000.0,11809900000.0,491400000.0,20505835757.06362,21498800000.0,99840900000.0,,,,,21498800000.0,21498800000.0,0.0,21498800000.0,-40500000.0,21539300000.0,21539300000.0,10937100000.0,32543500000.0,-12658300000.0,-3971700000.0,-66400000.0,11809900000.0,491400000.0,28314900000.0,58967500000.0,-74904900000.0,6637900000.0,-5665400000.0,87282400000.0,40873400000.0,128155800000.0,128155800000.0,
2024-12-31,-508269376.941664,0.160758,44746400000.0,-3161700000.0,-3161700000.0,29033800000.0,6305600000.0,27405400000.0,41584700000.0,35279100000.0,-515100000.0,515100000.0,31687230623.058334,29033800000.0,98751300000.0,2399487603.0,2399487603.0,12.1,12.1,29033800000.0,29033800000.0,0.0,29033800000.0,-96000000.0,29129800000.0,29129800000.0,5588600000.0,34764000000.0,4656200000.0,-3161700000.0,,-515100000.0,515100000.0,35618100000.0,71345900000.0,41902700000.0,6305600000.0,6305600000.0,106964000000.0,27405400000.0,134369400000.0,134369400000.0,4484396581703.909
2024-09-30,0.0,0.157651,42929600000.0,0.0,0.0,30401600000.0,6259100000.0,26942000000.0,42929600000.0,36670500000.0,-691700000.0,691700000.0,30401600000.0,30401600000.0,100792600000.0,2393826772.0,2393826772.0,12.7,12.7,30401600000.0,30401600000.0,0.0,30401600000.0,28300000.0,30373300000.0,30373300000.0,5672100000.0,35978800000.0,3540000000.0,0.0,,-691700000.0,691700000.0,31849600000.0,73850600000.0,43086200000.0,6259100000.0,6259100000.0,105700200000.0,26942000000.0,132642200000.0,132642200000.0,4569514326110.407
2024-06-30,0.0,0.161312,41401700000.0,0.0,0.0,28356200000.0,6551300000.0,26754300000.0,41401700000.0,34850400000.0,-615400000.0,615400000.0,28356200000.0,28356200000.0,95215700000.0,2403067797.0,2403067797.0,11.8,11.8,28356200000.0,28356200000.0,0.0,28356200000.0,-248900000.0,28605100000.0,28605100000.0,5522500000.0,34235000000.0,5325500000.0,0.0,,-615400000.0,615400000.0,30029400000.0,68461400000.0,38646300000.0,6551300000.0,6551300000.0,98490800000.0,26754300000.0,125245100000.0,125245100000.0,3609446552401.276
