,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,835455000.0,0.3,6953980000.0,2784850000.0,2784850000.0,1408240000.0,2621150000.0,6007440000.0,9738830000.0,7117680000.0,-4509620000.0,4509620000.0,-541155000.0,1408240000.0,10885270000.0,6122782609.0,6122782609.0,0.23,0.23,1408240000.0,1408240000.0,0.0,1408240000.0,1408240000.0,1408240000.0,1199820000.0,2608060000.0,492790000.0,0.0,-4509620000.0,4509620000.0,3590790000.0,4877830000.0,1059240000.0,2621150000.0,2621150000.0,8468620000.0,6007440000.0,14476060000.0,14476060000.0,251801046397.9083
2025-06-30,455736685.510763,0.292973,8620390000.0,1555560000.0,1555560000.0,2024820000.0,2692090000.0,9490790000.0,10175950000.0,7483860000.0,-4620010000.0,4620010000.0,924996685.510763,2024820000.0,14161900000.0,5955352941.0,5955352941.0,0.34,0.34,2024820000.0,2024820000.0,0.0,2024820000.0,2024820000.0,2024820000.0,839030000.0,2863850000.0,656100000.0,0.0,-4620010000.0,4620010000.0,4497140000.0,4671110000.0,936240000.0,2692090000.0,2692090000.0,9168250000.0,9490790000.0,18659040000.0,18659040000.0,294493275215.847
2025-03-31,459342223.951632,0.334247,7815400000.0,1374260000.0,1374260000.0,2147220000.0,2863130000.0,8871860000.0,9713240000.0,6850110000.0,-1562990000.0,3624860000.0,1232302223.951632,2147220000.0,12704550000.0,,,,,2147220000.0,2147220000.0,0.0,2147220000.0,2147220000.0,2147220000.0,1078030000.0,3225250000.0,-2136740000.0,20470000.0,-1562990000.0,3624860000.0,5619990000.0,3832690000.0,-1146250000.0,2863130000.0,-6829560000.0,9452680000.0,8871860000.0,18324540000.0,18324540000.0,
2024-12-31,991612109.025474,0.016439,8210440000.0,60322430000.0,60322430000.0,60261090000.0,2650980000.0,8092660000.0,68532870000.0,65881890000.0,-4613640000.0,4613640000.0,930272109.025474,60261090000.0,13063200000.0,6038185371.0,6038185371.0,9.98,9.98,60261090000.0,60261090000.0,0.0,60261090000.0,60261090000.0,60261090000.0,1007160000.0,61268250000.0,649380000.0,58041280000.0,-4613640000.0,4613640000.0,4742500000.0,4970540000.0,1232880000.0,2650980000.0,2650980000.0,9713040000.0,8092660000.0,17805700000.0,17805700000.0,343879475559.7077
2024-09-30,0.0,0.3,8488000000.0,0.0,0.0,998690000.0,2312040000.0,6350300000.0,8488000000.0,6175960000.0,-4342070000.0,4342070000.0,998690000.0,998690000.0,10503000000.0,5874647059.0,5874647059.0,0.17,0.17,998690000.0,998690000.0,0.0,998690000.0,998690000.0,998690000.0,835200000.0,1833890000.0,1657760000.0,0.0,-4342070000.0,4342070000.0,5355440000.0,4152700000.0,765780000.0,2312040000.0,2312040000.0,9508140000.0,6350300000.0,15858440000.0,15858440000.0,356209640352.06635
2024-06-30,,,,,,,,,,,,,,,,6086260870.0,6086260870.0,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,391463189507.6269
