Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
CGPOWER,2026-01-28 05:00:00-05:00,1.7,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,2025-10-29 05:00:00-04:00,2.11,1.82,-13.67,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,2025-07-24 04:00:00-04:00,1.88,1.76,-6.13,2025-06-30,0.0,0.266397,4094700000.0,,,2692300000.0,435000000.0,20076200000.0,4094700000.0,3659700000.0,-21900000.0,21900000.0,2692300000.0,2692300000.0,25403300000.0,1529715909.0,1529715909.0,1.76,1.76,2692300000.0,2692300000.0,0.0,2692300000.0,23600000.0,2668700000.0,0.0,2668700000.0,969100000.0,3637800000.0,282500000.0,,-21900000.0,21900000.0,3377200000.0,5327100000.0,2741500000.0,435000000.0,435000000.0,8704300000.0,20076200000.0,28780500000.0,28780500000.0,1043495744670.9298
CGPOWER,2025-05-07 21:00:00-04:00,1.84,1.78,-3.11,2025-03-31,112447794.807632,0.285111,3788000000.0,394400000.0,394400000.0,2719700000.0,318500000.0,19724500000.0,4182400000.0,3863900000.0,550500000.0,27500000.0,2437747794.807632,2719700000.0,23269800000.0,,,,,2719700000.0,2719700000.0,0.0,2719700000.0,-22900000.0,2742600000.0,0.0,2742600000.0,1093800000.0,3836400000.0,-466300000.0,-5400000.0,550500000.0,27500000.0,3318500000.0,3545300000.0,-1359600000.0,318500000.0,33700000.0,6863800000.0,19724500000.0,26588300000.0,26588300000.0,
CGPOWER,2025-01-28 03:00:00-05:00,1.7,1.57,-7.72,2024-12-31,0.0,0.289703,3646400000.0,0.0,0.0,2405300000.0,284000000.0,17620800000.0,3646400000.0,3362400000.0,-13800000.0,13800000.0,2405300000.0,2405300000.0,22130400000.0,1532038217.0,1532038217.0,1.57,1.57,2405300000.0,2405300000.0,0.0,2405300000.0,26800000.0,2378500000.0,0.0,2378500000.0,970100000.0,3348600000.0,336000000.0,0.0,-13800000.0,13800000.0,3026400000.0,4509600000.0,2684100000.0,284000000.0,284000000.0,7536000000.0,17620800000.0,25156800000.0,25156800000.0,1113108799924.9563
CGPOWER,2024-10-21 05:00:00-04:00,1.67,1.44,-13.6,2024-09-30,0.0,0.252451,3237800000.0,0.0,0.0,2209600000.0,275700000.0,16986700000.0,3237800000.0,2962100000.0,-24100000.0,24100000.0,2209600000.0,2209600000.0,21455800000.0,1534444444.0,1523862069.0,1.44,1.45,2209600000.0,2209600000.0,0.0,2209600000.0,13300000.0,2196300000.0,0.0,2196300000.0,741700000.0,2938000000.0,291000000.0,0.0,-24100000.0,24100000.0,2671100000.0,4469100000.0,2728300000.0,275700000.0,275700000.0,7140200000.0,16986700000.0,24126900000.0,24126900000.0,1154390344651.661
CGPOWER,2024-07-24 03:00:00-04:00,1.55,1.58,1.94,2024-06-30,0.0,0.281318,3602400000.0,0.0,0.0,2411400000.0,240200000.0,15321800000.0,3602400000.0,3362200000.0,-5500000.0,5500000.0,2411400000.0,2411400000.0,19244500000.0,1526202532.0,1526202532.0,1.58,1.58,2411400000.0,2411400000.0,0.0,2411400000.0,-1000000.0,2412400000.0,0.0,2412400000.0,944300000.0,3356700000.0,331500000.0,0.0,-5500000.0,5500000.0,3030700000.0,3922700000.0,2272100000.0,240200000.0,240200000.0,6953400000.0,15321800000.0,22275200000.0,22275200000.0,1073378967341.278
CGPOWER,2024-05-06 04:00:00-04:00,1.47,1.56,6.02,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,2024-01-23 04:00:00-05:00,1.53,1.29,-15.87,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,2023-10-20 04:00:00-04:00,1.5,1.46,-2.76,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
