Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
BRITANNIA,2026-02-05 05:00:00-05:00,21.92,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,2025-11-05 09:00:00-05:00,24.72,27.17,9.92,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,2025-08-05 08:00:00-04:00,24.44,21.62,-11.53,2025-06-30,0.0,0.258038,8092100000.0,0.0,0.0,5207200000.0,820400000.0,27591000000.0,8092100000.0,7271700000.0,-261500000.0,261500000.0,5207200000.0,5207200000.0,38598500000.0,240851064.0,240851064.0,21.62,21.62,5207200000.0,5207200000.0,0.0,5207200000.0,5900000.0,5201300000.0,5201300000.0,1808900000.0,7010200000.0,570100000.0,0.0,,,-261500000.0,261500000.0,6750100000.0,11007500000.0,8642100000.0,820400000.0,820400000.0,17757600000.0,27591000000.0,45348600000.0,45348600000.0,1390990630969.7344
BRITANNIA,2025-05-07 20:00:00-04:00,21.66,23.25,7.36,2025-03-31,211766414.426875,0.256407,7783500000.0,825900000.0,825900000.0,5599500000.0,809600000.0,27245400000.0,8609400000.0,7799800000.0,1021500000.0,280500000.0,4985366414.426875,5599500000.0,36509400000.0,,,,,5599500000.0,5599500000.0,0.0,5599500000.0,8200000.0,5591300000.0,5591300000.0,1928000000.0,7519300000.0,-1548800000.0,12400000.0,,,1021500000.0,280500000.0,7246300000.0,9264000000.0,-6138000000.0,809600000.0,775300000.0,16510300000.0,27245400000.0,43755700000.0,43755700000.0,
BRITANNIA,2025-02-06 11:00:00-05:00,21.92,24.15,10.18,2024-12-31,0.0,0.251917,9053300000.0,0.0,0.0,5816900000.0,823800000.0,28142600000.0,9053300000.0,8229500000.0,-445600000.0,445600000.0,5816900000.0,5816900000.0,37007700000.0,240865424.0,240865424.0,24.15,24.15,5816900000.0,5816900000.0,0.0,5816900000.0,-6100000.0,5823000000.0,5823000000.0,1960900000.0,7783900000.0,624600000.0,0.0,,,-445600000.0,445600000.0,7625300000.0,8865100000.0,8276000000.0,823800000.0,823800000.0,16490400000.0,28142600000.0,44633000000.0,44633000000.0,1132342347534.3203
BRITANNIA,2024-11-11 07:00:00-05:00,24.93,22.07,-11.5,2024-09-30,-385094.036216,0.256729,8260100000.0,-1500000.0,-1500000.0,5314500000.0,760700000.0,27294400000.0,8258600000.0,7497900000.0,-346400000.0,346400000.0,5315614905.963784,5314500000.0,38588900000.0,240911151.0,240911151.0,22.06,22.06,5314500000.0,5314500000.0,0.0,5314500000.0,-1000000.0,5315500000.0,5315500000.0,1836000000.0,7151500000.0,460000000.0,-1500000.0,,,-346400000.0,346400000.0,7073400000.0,11294500000.0,9224400000.0,760700000.0,760700000.0,18367900000.0,27294400000.0,45662300000.0,45662300000.0,1507179332244.517
BRITANNIA,2024-08-02 07:00:00-04:00,22.19,21.75,-2.0,2024-06-30,-63750709.146968,0.258729,8086200000.0,-246400000.0,-246400000.0,5056400000.0,739300000.0,24054100000.0,7839800000.0,7100500000.0,-289500000.0,289500000.0,5239049290.853032,5056400000.0,34501900000.0,240895665.0,240895665.0,20.99,20.99,5056400000.0,5056400000.0,0.0,5056400000.0,7600000.0,5048800000.0,5048800000.0,1762200000.0,6811000000.0,556100000.0,-246400000.0,61300000.0,185100000.0,-289500000.0,289500000.0,6797300000.0,10447800000.0,8892700000.0,739300000.0,739300000.0,17245100000.0,24054100000.0,41299200000.0,41299200000.0,1285244948432.417
BRITANNIA,2024-05-03 10:00:00-04:00,22.81,22.35,-2.02,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,2024-02-06 08:00:00-05:00,22.91,23.18,1.19,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,2023-11-01 11:00:00-04:00,22.34,24.41,9.27,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
