Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
HAL,2026-02-12 05:00:00-05:00,25.79,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAL,2025-11-12 03:00:00-05:00,24.0,24.96,4.02,2025-09-30,-4735056.893192,0.250532,22292300000.0,-18900000.0,-18900000.0,16690700000.0,42616600000.0,22273400000.0,22273400000.0,-3600000.0,3600000.0,16704864943.106808,16690700000.0,52943900000.0,668775000.0,668775000.0,24.96,24.96,16690700000.0,16690700000.0,0.0,16690700000.0,200000.0,16690500000.0,16690500000.0,5579300000.0,22269800000.0,8876700000.0,-18900000.0,,18900000.0,-3600000.0,3600000.0,13342200000.0,10327300000.0,10327300000.0,23669500000.0,42616600000.0,66286100000.0,66286100000.0,3174340537500.0
HAL,2025-08-12 04:00:00-04:00,17.25,20.69,19.94,2025-06-30,-5709482.233284,0.253755,18568600000.0,-22500000.0,-22500000.0,13837700000.0,29466200000.0,18546100000.0,18546100000.0,-3000000.0,3000000.0,13854490517.766716,13837700000.0,37195200000.0,668811020.0,668811020.0,20.69,20.69,13837700000.0,13837700000.0,0.0,13837700000.0,0.0,13837700000.0,13837700000.0,4705400000.0,18543100000.0,7470900000.0,-22500000.0,,22500000.0,-3000000.0,3000000.0,10994900000.0,7729000000.0,7729000000.0,18723900000.0,29466200000.0,48190100000.0,48190100000.0,3246042281917.676
HAL,2025-05-14 03:00:00-04:00,39.85,59.46,49.2,2025-03-31,-194777462.413723,0.237998,53089400000.0,-818400000.0,-818400000.0,39766600000.0,62169500000.0,52271000000.0,52271000000.0,22660600000.0,84400000.0,40390222537.58627,39766600000.0,81125600000.0,,,,,39766600000.0,39766600000.0,0.0,39766600000.0,300000.0,39766300000.0,39766300000.0,12420300000.0,52186600000.0,-16689600000.0,-818400000.0,276100000.0,294900000.0,22660600000.0,84400000.0,47110300000.0,18956100000.0,8929000000.0,66066400000.0,62169500000.0,128235900000.0,128235900000.0,
HAL,2025-02-12 03:00:00-05:00,18.4,21.53,17.03,2024-12-31,-27403084.448971,0.294974,20515500000.0,-92900000.0,-92900000.0,14398300000.0,47589400000.0,20422600000.0,20422600000.0,-800000.0,800000.0,14463796915.55103,14398300000.0,55425900000.0,668755225.0,668755225.0,21.53,21.53,14398300000.0,14398300000.0,0.0,14398300000.0,400000.0,14397900000.0,14397900000.0,6023900000.0,20421800000.0,6314000000.0,-92900000.0,,92900000.0,-800000.0,800000.0,14147200000.0,7836500000.0,7836500000.0,21983700000.0,47589400000.0,69573100000.0,69573100000.0,2764881944493.64
HAL,2024-11-14 02:00:00-05:00,17.7,22.52,27.26,2024-09-30,987600.237307,0.253231,20223300000.0,3900000.0,3900000.0,15104800000.0,38251300000.0,20227200000.0,20227200000.0,-200000.0,200000.0,15101887600.237309,15104800000.0,45084000000.0,668775000.0,668775000.0,22.59,22.59,15104800000.0,15104800000.0,0.0,15104800000.0,-100000.0,15104900000.0,15104900000.0,5122100000.0,20227000000.0,5424100000.0,3900000.0,-58900000.0,55000000.0,-200000.0,200000.0,14678900000.0,6832700000.0,6832700000.0,21511600000.0,38251300000.0,59762900000.0,59762900000.0,2925302181372.0703
HAL,2024-08-14 04:00:00-04:00,14.2,21.49,51.34,2024-06-30,,,,,,,,,,,,,,,668757562.0,668757562.0,21.49,21.49,,,,,,,,,,,,,,,,,,,,,,,3473889891485.492
HAL,2024-05-16 04:00:00-04:00,38.98,64.18,64.65,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAL,2024-02-12 05:00:00-05:00,16.16,18.86,16.74,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAL,2023-11-10 03:00:00-05:00,15.83,18.47,16.68,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
