Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
BANKINDIA,2025-10-17 07:00:00-04:00,3.22,5.61,74.22,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2025-07-29 12:00:00-04:00,3.96,4.95,25.0,2025-06-30,-1435899712.99713,0.276773,-5188000000.0,-5188000000.0,18295600000.0,61457800000.0,123208300000.0,184666100000.0,22047700287.00287,18295600000.0,4551144279.0,4551144279.0,4.02,4.02,18295600000.0,18295600000.0,18295600000.0,-9500000.0,18305100000.0,0.0,18305100000.0,6750500000.0,24390000000.0,-5188000000.0,42842400000.0,18641900000.0,83567900000.0,83567900000.0,539583654607.0479
BANKINDIA,2025-05-09 07:00:00-04:00,4.08,5.77,41.42,2025-03-31,516551445.873011,0.254457,2030017000.0,2030017000.0,26019697000.0,61463380000.0,123326208000.0,184789588000.0,24506231445.873013,26019697000.0,,,,,26019697000.0,26019697000.0,26019697000.0,-3426000.0,26023123000.0,0.0,26023123000.0,9036400000.0,35512524000.0,2030017000.0,55113699000.0,-1589071000.0,96800106000.0,96800106000.0,
BANKINDIA,2025-01-24 06:00:00-05:00,3.98,5.53,38.94,2024-12-31,0.0,0.257598,0.0,0.0,26367000000.0,61515100000.0,121657900000.0,183173000000.0,26367000000.0,26367000000.0,4553886010.0,4553886010.0,5.79,5.79,26367000000.0,26367000000.0,26367000000.0,-14700000.0,26381700000.0,0.0,26381700000.0,8878500000.0,34466500000.0,0.0,38691700000.0,14070600000.0,79318900000.0,79318900000.0,447794737587.48096
BANKINDIA,2024-11-11 06:00:00-05:00,4.21,5.21,23.75,2024-09-30,0.0,0.235671,0.0,0.0,24212900000.0,60629900000.0,114028200000.0,174658100000.0,24212900000.0,24212900000.0,4551296992.0,4551296992.0,5.32,5.32,24212900000.0,24212900000.0,24212900000.0,-4600000.0,24217500000.0,0.0,24217500000.0,7396200000.0,31383600000.0,0.0,40064300000.0,13537700000.0,85947400000.0,85947400000.0,485750151167.9744
BANKINDIA,2024-08-03 04:00:00-04:00,4.22,3.74,-11.37,2024-06-30,0.0,0.283959,0.0,0.0,18882800000.0,63526700000.0,106929600000.0,170456300000.0,18882800000.0,18882800000.0,4550072289.0,4550072289.0,4.15,4.15,18882800000.0,18882800000.0,18882800000.0,-16200000.0,18899000000.0,0.0,18899000000.0,6877600000.0,24220400000.0,0.0,40387100000.0,16718800000.0,76906900000.0,76906900000.0,529132006940.52893
BANKINDIA,2024-05-10 08:00:00-04:00,3.54,3.16,-10.73,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2024-02-02 07:00:00-05:00,4.86,4.44,-8.64,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2023-11-04 05:00:00-04:00,4.21,3.55,-15.68,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2023-07-28 06:00:00-04:00,4.59,3.78,-17.65,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2023-05-06 04:00:00-04:00,4.17,3.29,-21.1,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2023-01-17 01:00:00-05:00,3.32,2.8,-15.66,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2022-11-03 03:00:00-04:00,2.4,2.34,-2.5,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,2022-08-02 03:00:00-04:00,2.56,1.37,-46.48,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
