Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
UPL,2026-01-30 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPL,2025-11-06 03:00:00-05:00,7.05,8.09,14.75,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPL,2025-08-01 05:00:00-04:00,-4.2,-1.79,57.32,2025-06-30,-148105263.157895,0.073684,14780000000.0,-2010000000.0,-2010000000.0,-880000000.0,7310000000.0,41690000000.0,12770000000.0,5460000000.0,-7360000000.0,7360000000.0,981894736.842105,-880000000.0,84520000000.0,844433596.0,844433596.0,-1.98,-1.98,-880000000.0,-880000000.0,0.0,-880000000.0,880000000.0,-1760000000.0,-1760000000.0,-140000000.0,-1900000000.0,1430000000.0,-2010000000.0,,1920000000.0,90000000.0,-7360000000.0,7360000000.0,7640000000.0,42830000000.0,22300000000.0,7310000000.0,7310000000.0,50470000000.0,41690000000.0,92160000000.0,92160000000.0,553318154647.052
UPL,2025-05-12 03:00:00-04:00,14.98,11.14,-25.61,2025-03-31,-528046477.850399,0.216412,26930000000.0,-2440000000.0,-2440000000.0,8960000000.0,7050000000.0,88540000000.0,24490000000.0,17440000000.0,-2240000000.0,3670000000.0,10871953522.1496,8960000000.0,126360000000.0,,,,,7580000000.0,7580000000.0,1380000000.0,8960000000.0,-1830000000.0,10790000000.0,10790000000.0,2980000000.0,13770000000.0,-3010000000.0,-2440000000.0,1870000000.0,300000000.0,270000000.0,-2240000000.0,3670000000.0,25620000000.0,37820000000.0,-5640000000.0,7050000000.0,-5000000000.0,63440000000.0,88540000000.0,151980000000.0,151980000000.0,
UPL,2025-01-31 04:00:00-05:00,1.3,10.59,714.64,2024-12-31,-171000000.0,0.3,19270000000.0,-570000000.0,-570000000.0,8280000000.0,6880000000.0,53290000000.0,18700000000.0,11820000000.0,-8280000000.0,8280000000.0,8679000000.0,8280000000.0,94520000000.0,853608247.0,829659319.0,9.7,9.98,8280000000.0,8280000000.0,0.0,8280000000.0,-250000000.0,8530000000.0,8530000000.0,-4990000000.0,3540000000.0,1700000000.0,-570000000.0,110000000.0,-190000000.0,650000000.0,-8280000000.0,8280000000.0,14550000000.0,41230000000.0,22510000000.0,6880000000.0,6880000000.0,55780000000.0,53290000000.0,109070000000.0,109070000000.0,411890025225.2851
UPL,2024-11-11 04:00:00-05:00,0.45,-5.79,-1387.44,2024-09-30,-480000000.0,0.3,16310000000.0,-1600000000.0,-1600000000.0,-4430000000.0,6970000000.0,58230000000.0,14710000000.0,7740000000.0,-12210000000.0,12210000000.0,-3310000000.0,-4430000000.0,100600000000.0,779929577.0,779929577.0,-5.68,-5.68,-4430000000.0,-4430000000.0,0.0,-4430000000.0,1420000000.0,-5850000000.0,-5850000000.0,1380000000.0,-4470000000.0,1110000000.0,-1600000000.0,80000000.0,1520000000.0,0.0,-12210000000.0,12210000000.0,10300000000.0,42370000000.0,22030000000.0,6970000000.0,6970000000.0,52670000000.0,58230000000.0,110900000000.0,110900000000.0,473877289825.4336
UPL,2024-08-02 05:00:00-04:00,-6.0,-5.37,10.44,2024-06-30,-408000000.0,0.3,11550000000.0,-1360000000.0,-1360000000.0,-3840000000.0,6600000000.0,45200000000.0,10190000000.0,3590000000.0,-8140000000.0,8140000000.0,-2888000000.0,-3840000000.0,84940000000.0,650847458.0,650847458.0,-5.9,-5.9,-3840000000.0,-3840000000.0,0.0,-3840000000.0,1430000000.0,-5270000000.0,-5270000000.0,720000000.0,-4550000000.0,980000000.0,-1360000000.0,100000000.0,1170000000.0,90000000.0,-8140000000.0,8140000000.0,5730000000.0,39740000000.0,19770000000.0,6600000000.0,6600000000.0,45470000000.0,45200000000.0,90670000000.0,90670000000.0,367530270337.68286
UPL,2024-05-13 04:00:00-04:00,-3.84,-0.84,77.99,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPL,2024-02-02 06:00:00-05:00,-4.6,-16.88,-266.93,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPL,2023-10-30 05:00:00-04:00,4.9,-1.66,-133.86,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
