Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ETERNAL,2026-01-20 05:00:00-05:00,0.13,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,2025-10-16 05:00:00-04:00,0.14,0.07,-49.41,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,2025-07-21 05:00:00-04:00,0.06,0.03,-48.34,2025-06-30,0.0,0.3,4690000000.0,0.0,0.0,250000000.0,3140000000.0,22840000000.0,4690000000.0,1550000000.0,-670000000.0,670000000.0,250000000.0,250000000.0,73660000000.0,8333333333.0,8333333333.0,0.03,0.03,250000000.0,250000000.0,0.0,250000000.0,0.0,250000000.0,250000000.0,630000000.0,880000000.0,3540000000.0,0.0,-670000000.0,670000000.0,-1990000000.0,50820000000.0,32670000000.0,3140000000.0,3140000000.0,6710000000.0,6710000000.0,48830000000.0,22840000000.0,71670000000.0,71670000000.0,2201249949049.32
ETERNAL,2025-05-01 06:00:00-04:00,0.08,0.04,-47.72,2025-03-31,1587000000.0,0.3,-920000000.0,5290000000.0,5290000000.0,390000000.0,2870000000.0,16320000000.0,4370000000.0,1500000000.0,2390000000.0,530000000.0,-3313000000.0,390000000.0,58120000000.0,,,,,390000000.0,390000000.0,0.0,390000000.0,0.0,390000000.0,390000000.0,580000000.0,970000000.0,-6910000000.0,-620000000.0,2390000000.0,530000000.0,210000000.0,41800000000.0,16100000000.0,2870000000.0,0.0,14650000000.0,9590000000.0,42010000000.0,16320000000.0,58330000000.0,58330000000.0,
ETERNAL,2025-01-20 04:00:00-05:00,0.28,0.06,-78.37,2024-12-31,0.0,0.3,4140000000.0,0.0,0.0,590000000.0,2470000000.0,15000000000.0,4140000000.0,1670000000.0,-430000000.0,430000000.0,590000000.0,590000000.0,54900000000.0,9833333333.0,8428571429.0,0.06,0.07,590000000.0,590000000.0,0.0,590000000.0,0.0,590000000.0,590000000.0,650000000.0,1240000000.0,2520000000.0,0.0,-430000000.0,430000000.0,-850000000.0,39900000000.0,25330000000.0,2470000000.0,2470000000.0,5210000000.0,5210000000.0,39050000000.0,15000000000.0,54050000000.0,54050000000.0,2343564182945.615
ETERNAL,2024-10-22 06:00:00-04:00,0.32,0.2,-36.78,2024-09-30,0.0,0.257384,4470000000.0,0.0,0.0,1760000000.0,1800000000.0,13340000000.0,4470000000.0,2670000000.0,-300000000.0,300000000.0,1760000000.0,1760000000.0,47530000000.0,8800000000.0,8800000000.0,0.2,0.2,1760000000.0,1760000000.0,0.0,1760000000.0,0.0,1760000000.0,1760000000.0,610000000.0,2370000000.0,2210000000.0,0.0,-300000000.0,300000000.0,460000000.0,34190000000.0,22280000000.0,1800000000.0,1800000000.0,4210000000.0,4210000000.0,34650000000.0,13340000000.0,47990000000.0,47990000000.0,2405039892578.125
ETERNAL,2024-08-01 05:00:00-04:00,0.25,0.28,10.59,2024-06-30,0.0,0.3,4130000000.0,0.0,0.0,2530000000.0,1490000000.0,10990000000.0,4130000000.0,2640000000.0,-250000000.0,250000000.0,2530000000.0,2530000000.0,41780000000.0,9035714286.0,8724137931.0,0.28,0.29,2530000000.0,2530000000.0,0.0,2530000000.0,0.0,2530000000.0,2530000000.0,-140000000.0,2390000000.0,2360000000.0,0.0,-250000000.0,250000000.0,280000000.0,30790000000.0,20050000000.0,1490000000.0,1490000000.0,3960000000.0,3960000000.0,31070000000.0,10990000000.0,42060000000.0,42060000000.0,1749713082142.195
ETERNAL,2024-05-13 05:00:00-04:00,0.21,0.2,-6.69,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,2024-02-08 04:00:00-05:00,0.12,0.16,37.09,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,2023-11-03 05:00:00-04:00,0.04,0.04,10.07,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
