Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-22 05:00:00-05:00,10.95,,
2025-10-24 08:00:00-04:00,10.73,11.07,3.14
2025-07-23 12:00:00-04:00,12.27,7.88,-35.78
2025-05-05 06:00:00-04:00,8.5,7.73,-9.04
2025-01-22 14:00:00-05:00,7.9,6.39,-19.14
2024-10-22 14:00:00-04:00,7.17,6.03,-15.91
2024-07-22 14:00:00-04:00,7.21,4.16,-42.38
2024-05-02 07:00:00-04:00,8.87,7.54,-15.01
2024-01-22 05:00:00-05:00,7.99,7.61,-4.78
2023-10-18 21:00:00-04:00,7.3,5.8,-20.58
2023-07-20 05:00:00-04:00,7.17,5.31,-26.0
2023-04-26 21:00:00-04:00,8.55,4.96,-42.0
2023-01-20 05:00:00-05:00,7.35,7.34,-0.16
2022-10-20 06:00:00-04:00,6.25,6.48,3.77
2022-07-21 21:00:00-04:00,5.82,4.83,-17.02
2022-05-11 21:00:00-04:00,6.63,6.69,0.98
2022-01-27 06:00:00-05:00,5.85,5.92,1.07
2021-10-24 22:00:00-04:00,5.46,4.73,-13.37
2021-07-27 22:00:00-04:00,4.34,3.99,-8.17
2021-05-06 00:00:00-04:00,4.15,4.3,3.68
2021-01-28 07:00:00-05:00,4.06,3.95,-2.69
2020-10-22 09:00:00-04:00,3.84,3.92,2.06
2020-07-28 08:00:00-04:00,3.29,2.98,-9.46
2020-05-05 10:00:00-04:00,3.95,3.95,-0.01
2020-01-29 04:00:00-05:00,3.9,3.94,0.92
