Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 05:00:00-05:00,14.42,,
2025-11-11 03:00:00-05:00,14.34,13.9,-3.07
2025-07-25 02:00:00-04:00,15.35,17.3,12.7
2025-04-29 10:00:00-04:00,12.62,15.0,18.86
2025-01-30 02:00:00-05:00,12.62,13.9,10.14
2024-10-23 04:00:00-04:00,13.97,13.0,-6.94
2024-07-24 02:00:00-04:00,14.24,13.3,-6.6
2024-01-30 02:00:00-05:00,8.91,13.4,50.39
2023-10-27 03:00:00-04:00,10.67,12.0,12.46
2020-05-21 04:00:00-04:00,8.09,1.22,-84.92
2019-07-25 06:00:00-04:00,5.41,5.31,-1.9
2019-05-16 09:00:00-04:00,5.46,5.27,-3.39
2019-01-29 06:00:00-05:00,4.9,5.34,9.05
2018-10-23 07:00:00-04:00,5.63,4.42,-21.55
2018-07-19 06:00:00-04:00,4.83,5.19,7.52
2018-05-17 08:00:00-04:00,5.2,4.31,-17.12
2018-02-01 06:00:00-05:00,4.92,4.7,-4.54
2017-10-16 07:00:00-04:00,4.43,4.1,-7.43
2017-07-19 07:00:00-04:00,4.18,4.12,-1.44
2017-05-17 08:00:00-04:00,3.73,3.36,-9.92
2016-02-03 10:00:00-05:00,2.98,2.75,-7.59
2015-10-20 11:00:00-04:00,2.88,2.77,-3.85
2015-07-22 11:00:00-04:00,2.54,2.93,15.31
2015-05-20 12:00:00-04:00,4.51,4.44,-1.6
2015-01-19 00:00:00-05:00,2.01,2.18,8.3
