Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 05:00:00-05:00,,,
2025-10-17 10:00:00-04:00,6.1,6.23,2.13
2025-07-18 04:00:00-04:00,4.9,5.22,6.53
2025-04-25 04:00:00-04:00,6.27,7.05,12.5
2025-01-28 03:00:00-05:00,5.93,6.26,5.51
2024-10-18 04:00:00-04:00,5.3,5.66,6.72
2024-08-02 05:00:00-04:00,5.5,5.58,1.45
2024-04-19 06:00:00-04:00,4.75,4.83,1.68
2024-01-19 03:00:00-05:00,4.67,4.82,3.29
2023-10-20 04:00:00-04:00,3.93,4.11,4.49
2023-07-21 04:00:00-04:00,4.43,4.66,5.11
2023-04-21 05:00:00-04:00,5.6,6.13,9.46
2023-01-19 07:00:00-05:00,4.9,5.1,4.08
2022-10-21 08:00:00-04:00,6.03,6.35,5.25
2022-07-21 04:00:00-04:00,7.13,7.32,2.62
2022-04-22 05:00:00-04:00,7.0,6.93,-1.0
2022-01-21 03:00:00-05:00,6.0,6.39,6.5
2021-10-22 05:00:00-04:00,4.35,4.77,9.66
2021-07-22 04:00:00-04:00,5.2,4.9,-5.81
2021-04-27 05:00:00-04:00,5.6,5.87,4.82
2020-10-20 06:00:00-04:00,5.0,4.59,-8.2
2020-07-21 05:00:00-04:00,2.6,3.22,23.85
2020-05-21 05:00:00-04:00,3.69,3.17,-14.09
2020-01-20 05:00:00-05:00,4.47,3.83,-14.41
2019-10-29 06:00:00-04:00,3.75,4.93,31.47
